Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2012,Eastern Conf Semifinals,IND,MIA,L,2-4,George Hill,0.6,Darren Collison,0.5,0.1,LeBron James,3.1,2.6,5.72,-3.12
2012,Eastern Conf Semifinals,BOS,PHI,W,4-3,Rajon Rondo,1.7,Kevin Garnett*,1.1,0.6,Jrue Holiday,0.9,2.26,3.59,-1.33
2012,Eastern Conf Semifinals,PHI,BOS,L,3-4,Jrue Holiday,0.9,Andre Iguodala,0.5,0.4,Rajon Rondo,1.7,3.59,2.26,1.33
2012,Western Conf Semifinals,SAS,LAC,W,4-0,Tim Duncan*,0.8,Boris Diaw,0.5,0.3,Chris Paul,0.6,7.28,2.82,4.46
2012,Western Conf Semifinals,LAC,SAS,L,0-4,Chris Paul,0.6,Blake Griffin,0.5,0.1,Tim Duncan*,0.8,2.82,7.28,-4.46
2012,Western Conf Semifinals,OKC,LAL,W,4-1,Kevin Durant,2.2,Russell Westbrook,1.0,1.2,Kobe Bryant*,0.9,6.44,1.96,4.48
2012,Western Conf Semifinals,LAL,OKC,L,1-4,Kobe Bryant*,0.9,Andrew Bynum,0.7,0.2,Kevin Durant,2.2,1.96,6.44,-4.48
2012,Western Conf Finals,OKC,SAS,W,4-2,Kevin Durant,2.2,Russell Westbrook,1.0,1.2,Tim Duncan*,0.8,6.44,7.28,-0.84
2012,Western Conf Finals,SAS,OKC,L,2-4,Tim Duncan*,0.8,Boris Diaw,0.5,0.3,Kevin Durant,2.2,7.28,6.44,0.84
2012,Eastern Conf Finals,MIA,BOS,W,4-3,LeBron James,3.1,Dwyane Wade*,1.7,1.4,Rajon Rondo,1.7,5.72,2.26,3.46
2012,Eastern Conf Finals,BOS,MIA,L,3-4,Rajon Rondo,1.7,Kevin Garnett*,1.1,0.6,LeBron James,3.1,2.26,5.72,-3.46
2012,Finals,MIA,OKC,W,4-1,LeBron James,3.1,Dwyane Wade*,1.7,1.4,Kevin Durant,2.2,5.72,6.44,-0.72
2012,Finals,OKC,MIA,L,1-4,Kevin Durant,2.2,Russell Westbrook,1.0,1.2,LeBron James,3.1,6.44,5.72,0.72
2011,Eastern Conf First Round,CHI,IND,W,4-1,Derrick Rose,1.5,Luol Deng,0.8,0.7,Danny Granger,0.4,6.53,-1.38,7.91
2011,Eastern Conf First Round,IND,CHI,L,1-4,Danny Granger,0.4,Mike Dunleavy,0.1,0.3,Derrick Rose,1.5,-1.38,6.53,-7.91
2011,Eastern Conf First Round,MIA,PHI,W,4-1,Dwyane Wade*,2.2,LeBron James,2.1,0.1,Jrue Holiday,0.3,6.76,1.01,5.75
2011,Eastern Conf First Round,PHI,MIA,L,1-4,Jrue Holiday,0.3,Elton Brand,0.1,0.2,Dwyane Wade*,2.2,1.01,6.76,-5.75
2011,Eastern Conf First Round,BOS,NYK,W,4-0,Ray Allen*,0.8,Paul Pierce*,0.5,0.3,Carmelo Anthony*,0.3,4.83,0.48,4.35
2011,Eastern Conf First Round,NYK,BOS,L,0-4,Carmelo Anthony*,0.3,Anthony Carter,0.1,0.2,Ray Allen*,0.8,0.48,4.83,-4.35
2011,Eastern Conf First Round,ATL,ORL,W,4-2,Josh Smith,0.4,Jamal Crawford,0.3,0.1,Dwight Howard*,0.5,-1.1,4.92,-6.02
2011,Eastern Conf First Round,ORL,ATL,L,2-4,Dwight Howard*,0.5,Jameer Nelson,0.3,0.2,Josh Smith,0.4,4.92,-1.1,6.02
2011,Western Conf First Round,MEM,SAS,W,4-2,Marc Gasol,0.8,Zach Randolph,0.7,0.1,Manu GinÃ³bili*,0.4,2.55,5.86,-3.31
2011,Western Conf First Round,SAS,MEM,L,2-4,Manu GinÃ³bili*,0.4,Tim Duncan*,0.2,0.2,Marc Gasol,0.8,5.86,2.55,3.31
2011,Western Conf First Round,LAL,NOH,W,4-2,Kobe Bryant*,0.5,Pau Gasol*,0.4,0.1,Chris Paul,0.8,6.01,1.28,4.73
2011,Western Conf First Round,NOH,LAL,L,2-4,Chris Paul,0.8,Trevor Ariza,0.3,0.5,Kobe Bryant*,0.5,1.28,6.01,-4.73
2011,Western Conf First Round,DAL,POR,W,4-2,Dirk Nowitzki*,1.6,Jason Kidd*,1.3,0.3,Gerald Wallace,0.3,4.41,1.85,2.56
2011,Western Conf First Round,POR,DAL,L,2-4,Gerald Wallace,0.3,LaMarcus Aldridge,0.2,0.1,Dirk Nowitzki*,1.6,1.85,4.41,-2.56
2011,Western Conf First Round,OKC,DEN,W,4-1,Kevin Durant,1.4,James Harden,1.0,0.4,Ty Lawson,0.3,3.81,4.81,-1.0
2011,Western Conf First Round,DEN,OKC,L,1-4,Ty Lawson,0.3,Chris Andersen,0.2,0.1,Kevin Durant,1.4,4.81,3.81,1.0
2011,Eastern Conf Semifinals,CHI,ATL,W,4-2,Derrick Rose,1.5,Luol Deng,0.8,0.7,Josh Smith,0.4,6.53,-1.1,7.63
2011,Eastern Conf Semifinals,ATL,CHI,L,2-4,Josh Smith,0.4,Jamal Crawford,0.3,0.1,Derrick Rose,1.5,-1.1,6.53,-7.63
2011,Eastern Conf Semifinals,MIA,BOS,W,4-1,Dwyane Wade*,2.2,LeBron James,2.1,0.1,Ray Allen*,0.8,6.76,4.83,1.93
2011,Eastern Conf Semifinals,BOS,MIA,L,1-4,Ray Allen*,0.8,Paul Pierce*,0.5,0.3,Dwyane Wade*,2.2,4.83,6.76,-1.93
2011,Western Conf Semifinals,DAL,LAL,W,4-0,Dirk Nowitzki*,1.6,Jason Kidd*,1.3,0.3,Kobe Bryant*,0.5,4.41,6.01,-1.6
2011,Western Conf Semifinals,LAL,DAL,L,0-4,Kobe Bryant*,0.5,Pau Gasol*,0.4,0.1,Dirk Nowitzki*,1.6,6.01,4.41,1.6
2011,Western Conf Semifinals,OKC,MEM,W,4-3,Kevin Durant,1.4,James Harden,1.0,0.4,Marc Gasol,0.8,3.81,2.55,1.26
2011,Western Conf Semifinals,MEM,OKC,L,3-4,Marc Gasol,0.8,Zach Randolph,0.7,0.1,Kevin Durant,1.4,2.55,3.81,-1.26
2011,Eastern Conf Finals,MIA,CHI,W,4-1,Dwyane Wade*,2.2,LeBron James,2.1,0.1,Derrick Rose,1.5,6.76,6.53,0.23
2011,Eastern Conf Finals,CHI,MIA,L,1-4,Derrick Rose,1.5,Luol Deng,0.8,0.7,Dwyane Wade*,2.2,6.53,6.76,-0.23
2011,Western Conf Finals,DAL,OKC,W,4-1,Dirk Nowitzki*,1.6,Jason Kidd*,1.3,0.3,Kevin Durant,1.4,4.41,3.81,0.6
2011,Western Conf Finals,OKC,DAL,L,1-4,Kevin Durant,1.4,James Harden,1.0,0.4,Dirk Nowitzki*,1.6,3.81,4.41,-0.6
2011,Finals,DAL,MIA,W,4-2,Dirk Nowitzki*,1.6,Jason Kidd*,1.3,0.3,Dwyane Wade*,2.2,4.41,6.76,-2.35
2011,Finals,MIA,DAL,L,2-4,Dwyane Wade*,2.2,LeBron James,2.1,0.1,Dirk Nowitzki*,1.6,6.76,4.41,2.35
2010,Eastern Conf First Round,CLE,CHI,W,4-1,LeBron James,1.6,Jamario Moon,0.3,1.3,Joakim Noah,0.3,6.17,-1.64,7.81
2010,Eastern Conf First Round,CHI,CLE,L,1-4,Joakim Noah,0.3,Derrick Rose,0.3,0.0,LeBron James,1.6,-1.64,6.17,-7.81
2010,Eastern Conf First Round,ORL,CHA,W,4-0,Jameer Nelson,0.9,Dwight Howard*,0.7,0.2,Gerald Wallace,0.4,7.12,1.3,5.82
2010,Eastern Conf First Round,CHA,ORL,L,0-4,Gerald Wallace,0.4,Raymond Felton,0.1,0.3,Jameer Nelson,0.9,1.3,7.12,-5.82
2010,Eastern Conf First Round,ATL,MIL,W,4-3,Josh Smith,0.7,Al Horford,0.6,0.1,Brandon Jennings,0.3,4.44,1.37,3.07
2010,Eastern Conf First Round,MIL,ATL,L,3-4,Brandon Jennings,0.3,John Salmons,0.3,0.0,Josh Smith,0.7,1.37,4.44,-3.07
2010,Eastern Conf First Round,BOS,MIA,W,4-1,Rajon Rondo,1.5,Paul Pierce*,1.2,0.3,Dwyane Wade*,0.8,3.37,1.99,1.38
2010,Eastern Conf First Round,MIA,BOS,L,1-4,Dwyane Wade*,0.8,Joel Anthony,0.1,0.7,Rajon Rondo,1.5,1.99,3.37,-1.38
2010,Western Conf First Round,LAL,OKC,W,4-2,Kobe Bryant*,2.1,Pau Gasol*,1.8,0.3,Russell Westbrook,0.6,4.78,3.55,1.23
2010,Western Conf First Round,OKC,LAL,L,2-4,Russell Westbrook,0.6,Kevin Durant,0.2,0.4,Kobe Bryant*,2.1,3.55,4.78,-1.23
2010,Western Conf First Round,SAS,DAL,W,4-2,Manu GinÃ³bili*,0.8,Tim Duncan*,0.5,0.3,Dirk Nowitzki*,0.8,5.07,2.66,2.41
2010,Western Conf First Round,DAL,SAS,L,2-4,Dirk Nowitzki*,0.8,Jason Kidd*,0.3,0.5,Manu GinÃ³bili*,0.8,2.66,5.07,-2.41
2010,Western Conf First Round,PHO,POR,W,4-2,Jason Richardson,1.1,Steve Nash*,0.9,0.2,LaMarcus Aldridge,0.2,4.67,3.18,1.49
2010,Western Conf First Round,POR,PHO,L,2-4,LaMarcus Aldridge,0.2,Marcus Camby,0.2,0.0,Jason Richardson,1.1,3.18,4.67,-1.49
2010,Western Conf First Round,UTA,DEN,W,4-2,Deron Williams,0.8,Paul Millsap,0.6,0.2,Carmelo Anthony*,0.3,5.33,4.15,1.18
2010,Western Conf First Round,DEN,UTA,L,2-4,Carmelo Anthony*,0.3,Chauncey Billups*,0.3,0.0,Deron Williams,0.8,4.15,5.33,-1.18
2010,Eastern Conf Semifinals,BOS,CLE,W,4-2,Rajon Rondo,1.5,Paul Pierce*,1.2,0.3,LeBron James,1.6,3.37,6.17,-2.8
2010,Eastern Conf Semifinals,CLE,BOS,L,2-4,LeBron James,1.6,Jamario Moon,0.3,1.3,Rajon Rondo,1.5,6.17,3.37,2.8
2010,Eastern Conf Semifinals,ORL,ATL,W,4-0,Jameer Nelson,0.9,Dwight Howard*,0.7,0.2,Josh Smith,0.7,7.12,4.44,2.68
2010,Eastern Conf Semifinals,ATL,ORL,L,0-4,Josh Smith,0.7,Al Horford,0.6,0.1,Jameer Nelson,0.9,4.44,7.12,-2.68
2010,Western Conf Semifinals,LAL,UTA,W,4-0,Kobe Bryant*,2.1,Pau Gasol*,1.8,0.3,Deron Williams,0.8,4.78,5.33,-0.55
2010,Western Conf Semifinals,UTA,LAL,L,0-4,Deron Williams,0.8,Paul Millsap,0.6,0.2,Kobe Bryant*,2.1,5.33,4.78,0.55
2010,Western Conf Semifinals,PHO,SAS,W,4-0,Jason Richardson,1.1,Steve Nash*,0.9,0.2,Manu GinÃ³bili*,0.8,4.67,5.07,-0.4
2010,Western Conf Semifinals,SAS,PHO,L,0-4,Manu GinÃ³bili*,0.8,Tim Duncan*,0.5,0.3,Jason Richardson,1.1,5.07,4.67,0.4
2010,Western Conf Finals,LAL,PHO,W,4-2,Kobe Bryant*,2.1,Pau Gasol*,1.8,0.3,Jason Richardson,1.1,4.78,4.67,0.11
2010,Western Conf Finals,PHO,LAL,L,2-4,Jason Richardson,1.1,Steve Nash*,0.9,0.2,Kobe Bryant*,2.1,4.67,4.78,-0.11
2010,Eastern Conf Finals,BOS,ORL,W,4-2,Rajon Rondo,1.5,Paul Pierce*,1.2,0.3,Jameer Nelson,0.9,3.37,7.12,-3.75
2010,Eastern Conf Finals,ORL,BOS,L,2-4,Jameer Nelson,0.9,Dwight Howard*,0.7,0.2,Rajon Rondo,1.5,7.12,3.37,3.75
2010,Finals,LAL,BOS,W,4-3,Kobe Bryant*,2.1,Pau Gasol*,1.8,0.3,Rajon Rondo,1.5,4.78,3.37,1.41
2010,Finals,BOS,LAL,L,3-4,Rajon Rondo,1.5,Paul Pierce*,1.2,0.3,Kobe Bryant*,2.1,3.37,4.78,-1.41
2009,Eastern Conf First Round,CLE,DET,W,4-0,LeBron James,2.9,Delonte West,0.4,2.5,Will Bynum,0.2,8.68,-0.36,9.04
2009,Eastern Conf First Round,DET,CLE,L,0-4,Will Bynum,0.2,Jason Maxiell,0.1,0.1,LeBron James,2.9,-0.36,8.68,-9.04
2009,Eastern Conf First Round,BOS,CHI,W,4-3,Rajon Rondo,0.9,Paul Pierce*,0.5,0.4,Kirk Hinrich,0.3,7.44,-0.16,7.6
2009,Eastern Conf First Round,CHI,BOS,L,3-4,Kirk Hinrich,0.3,Joakim Noah,0.3,0.0,Rajon Rondo,0.9,-0.16,7.44,-7.6
2009,Eastern Conf First Round,ORL,PHI,W,4-2,Dwight Howard*,1.8,Rashard Lewis,1.5,0.3,Andre Iguodala,0.4,6.48,0.16,6.32
2009,Eastern Conf First Round,PHI,ORL,L,2-4,Andre Iguodala,0.4,Andre Miller,0.3,0.1,Dwight Howard*,1.8,0.16,6.48,-6.32
2009,Eastern Conf First Round,ATL,MIA,W,4-3,Mike Bibby,0.4,Josh Smith,0.4,0.0,Dwyane Wade*,0.7,1.7,0.49,1.21
2009,Eastern Conf First Round,MIA,ATL,L,3-4,Dwyane Wade*,0.7,James Jones,0.2,0.5,Mike Bibby,0.4,0.49,1.7,-1.21
2009,Western Conf First Round,LAL,UTA,W,4-1,Kobe Bryant*,2.6,Pau Gasol*,1.7,0.9,Deron Williams,0.3,7.11,2.31,4.8
2009,Western Conf First Round,UTA,LAL,L,1-4,Deron Williams,0.3,Carlos Boozer,0.2,0.1,Kobe Bryant*,2.6,2.31,7.11,-4.8
2009,Western Conf First Round,DEN,NOH,W,4-1,Chauncey Billups*,1.3,Carmelo Anthony*,1.1,0.2,Chris Paul,0.2,3.13,1.41,1.72
2009,Western Conf First Round,NOH,DEN,L,1-4,Chris Paul,0.2,Rasual Butler,0.1,0.1,Chauncey Billups*,1.3,1.41,3.13,-1.72
2009,Western Conf First Round,DAL,SAS,W,4-1,Dirk Nowitzki*,0.9,Jason Kidd*,0.6,0.3,Tim Duncan*,0.4,1.68,3.36,-1.68
2009,Western Conf First Round,SAS,DAL,L,1-4,Tim Duncan*,0.4,Tony Parker*,0.4,0.0,Dirk Nowitzki*,0.9,3.36,1.68,1.68
2009,Western Conf First Round,HOU,POR,W,4-2,Shane Battier,0.6,Yao Ming*,0.5,0.1,Brandon Roy,0.6,3.73,5.0,-1.27
2009,Western Conf First Round,POR,HOU,L,2-4,Brandon Roy,0.6,LaMarcus Aldridge,0.2,0.4,Shane Battier,0.6,5.0,3.73,1.27
2009,Western Conf Semifinals,LAL,HOU,W,4-3,Kobe Bryant*,2.6,Pau Gasol*,1.7,0.9,Shane Battier,0.6,7.11,3.73,3.38
2009,Western Conf Semifinals,HOU,LAL,L,3-4,Shane Battier,0.6,Yao Ming*,0.5,0.1,Kobe Bryant*,2.6,3.73,7.11,-3.38
2009,Western Conf Semifinals,DEN,DAL,W,4-1,Chauncey Billups*,1.3,Carmelo Anthony*,1.1,0.2,Dirk Nowitzki*,0.9,3.13,1.68,1.45
2009,Western Conf Semifinals,DAL,DEN,L,1-4,Dirk Nowitzki*,0.9,Jason Kidd*,0.6,0.3,Chauncey Billups*,1.3,1.68,3.13,-1.45
2009,Eastern Conf Semifinals,CLE,ATL,W,4-0,LeBron James,2.9,Delonte West,0.4,2.5,Mike Bibby,0.4,8.68,1.7,6.98
2009,Eastern Conf Semifinals,ATL,CLE,L,0-4,Mike Bibby,0.4,Josh Smith,0.4,0.0,LeBron James,2.9,1.7,8.68,-6.98
2009,Eastern Conf Semifinals,ORL,BOS,W,4-3,Dwight Howard*,1.8,Rashard Lewis,1.5,0.3,Rajon Rondo,0.9,6.48,7.44,-0.96
2009,Eastern Conf Semifinals,BOS,ORL,L,3-4,Rajon Rondo,0.9,Paul Pierce*,0.5,0.4,Dwight Howard*,1.8,7.44,6.48,0.96
2009,Eastern Conf Finals,ORL,CLE,W,4-2,Dwight Howard*,1.8,Rashard Lewis,1.5,0.3,LeBron James,2.9,6.48,8.68,-2.2
2009,Eastern Conf Finals,CLE,ORL,L,2-4,LeBron James,2.9,Delonte West,0.4,2.5,Dwight Howard*,1.8,8.68,6.48,2.2
2009,Western Conf Finals,LAL,DEN,W,4-2,Kobe Bryant*,2.6,Pau Gasol*,1.7,0.9,Chauncey Billups*,1.3,7.11,3.13,3.98
2009,Western Conf Finals,DEN,LAL,L,2-4,Chauncey Billups*,1.3,Carmelo Anthony*,1.1,0.2,Kobe Bryant*,2.6,3.13,7.11,-3.98
2009,Finals,LAL,ORL,W,4-1,Kobe Bryant*,2.6,Pau Gasol*,1.7,0.9,Dwight Howard*,1.8,7.11,6.48,0.63
2009,Finals,ORL,LAL,L,1-4,Dwight Howard*,1.8,Rashard Lewis,1.5,0.3,Kobe Bryant*,2.6,6.48,7.11,-0.63
2008,Eastern Conf First Round,BOS,ATL,W,4-3,Kevin Garnett*,2.1,Paul Pierce*,1.4,0.7,Al Horford,0.3,9.3,-2.23,11.53
2008,Eastern Conf First Round,ATL,BOS,L,3-4,Al Horford,0.3,Joe Johnson,0.3,0.0,Kevin Garnett*,2.1,-2.23,9.3,-11.53
2008,Eastern Conf First Round,DET,PHI,W,4-2,Richard Hamilton,1.0,Chauncey Billups*,0.9,0.1,Rodney Carney,0.2,6.67,0.19,6.48
2008,Eastern Conf First Round,PHI,DET,L,2-4,Rodney Carney,0.2,Thaddeus Young,0.2,0.0,Richard Hamilton,1.0,0.19,6.67,-6.48
2008,Eastern Conf First Round,ORL,TOR,W,4-1,Rashard Lewis,0.6,Dwight Howard*,0.5,0.1,Chris Bosh*,0.3,4.79,2.47,2.32
2008,Eastern Conf First Round,TOR,ORL,L,1-4,Chris Bosh*,0.3,JosÃ© CalderÃ³n,0.2,0.1,Rashard Lewis,0.6,2.47,4.79,-2.32
2008,Eastern Conf First Round,CLE,WAS,W,4-2,LeBron James,1.7,Zydrunas Ilgauskas,0.4,1.3,Caron Butler,0.3,-0.53,-0.61,0.08
2008,Eastern Conf First Round,WAS,CLE,L,2-4,Caron Butler,0.3,Brendan Haywood,0.2,0.1,LeBron James,1.7,-0.61,-0.53,-0.08
2008,Western Conf First Round,LAL,DEN,W,4-0,Kobe Bryant*,2.0,Pau Gasol*,1.3,0.7,J.R. Smith,0.3,7.34,3.74,3.6
2008,Western Conf First Round,DEN,LAL,L,0-4,J.R. Smith,0.3,Allen Iverson*,0.2,0.1,Kobe Bryant*,2.0,3.74,7.34,-3.6
2008,Western Conf First Round,NOH,DAL,W,4-1,Chris Paul,1.6,David West,0.8,0.8,Dirk Nowitzki*,0.6,5.46,4.7,0.76
2008,Western Conf First Round,DAL,NOH,L,1-4,Dirk Nowitzki*,0.6,Jason Terry,0.3,0.3,Chris Paul,1.6,4.7,5.46,-0.76
2008,Western Conf First Round,SAS,PHO,W,4-1,Tim Duncan*,1.1,Tony Parker*,0.9,0.2,Raja Bell,0.3,5.1,5.14,-0.04
2008,Western Conf First Round,PHO,SAS,L,1-4,Raja Bell,0.3,Boris Diaw,0.2,0.1,Tim Duncan*,1.1,5.14,5.1,0.04
2008,Western Conf First Round,UTA,HOU,W,4-2,Deron Williams,1.1,Mehmet Okur,0.6,0.5,Tracy McGrady*,0.6,6.86,4.83,2.03
2008,Western Conf First Round,HOU,UTA,L,2-4,Tracy McGrady*,0.6,Rafer Alston,0.3,0.3,Deron Williams,1.1,4.83,6.86,-2.03
2008,Eastern Conf Semifinals,BOS,CLE,W,4-3,Kevin Garnett*,2.1,Paul Pierce*,1.4,0.7,LeBron James,1.7,9.3,-0.53,9.83
2008,Eastern Conf Semifinals,CLE,BOS,L,3-4,LeBron James,1.7,Zydrunas Ilgauskas,0.4,1.3,Kevin Garnett*,2.1,-0.53,9.3,-9.83
2008,Eastern Conf Semifinals,DET,ORL,W,4-1,Richard Hamilton,1.0,Chauncey Billups*,0.9,0.1,Rashard Lewis,0.6,6.67,4.79,1.88
2008,Eastern Conf Semifinals,ORL,DET,L,1-4,Rashard Lewis,0.6,Dwight Howard*,0.5,0.1,Richard Hamilton,1.0,4.79,6.67,-1.88
2008,Western Conf Semifinals,LAL,UTA,W,4-2,Kobe Bryant*,2.0,Pau Gasol*,1.3,0.7,Deron Williams,1.1,7.34,6.86,0.48
2008,Western Conf Semifinals,UTA,LAL,L,2-4,Deron Williams,1.1,Mehmet Okur,0.6,0.5,Kobe Bryant*,2.0,6.86,7.34,-0.48
2008,Western Conf Semifinals,SAS,NOH,W,4-3,Tim Duncan*,1.1,Tony Parker*,0.9,0.2,Chris Paul,1.6,5.1,5.46,-0.36
2008,Western Conf Semifinals,NOH,SAS,L,3-4,Chris Paul,1.6,David West,0.8,0.8,Tim Duncan*,1.1,5.46,5.1,0.36
2008,Eastern Conf Finals,BOS,DET,W,4-2,Kevin Garnett*,2.1,Paul Pierce*,1.4,0.7,Richard Hamilton,1.0,9.3,6.67,2.63
2008,Eastern Conf Finals,DET,BOS,L,2-4,Richard Hamilton,1.0,Chauncey Billups*,0.9,0.1,Kevin Garnett*,2.1,6.67,9.3,-2.63
2008,Western Conf Finals,LAL,SAS,W,4-1,Kobe Bryant*,2.0,Pau Gasol*,1.3,0.7,Tim Duncan*,1.1,7.34,5.1,2.24
2008,Western Conf Finals,SAS,LAL,L,1-4,Tim Duncan*,1.1,Tony Parker*,0.9,0.2,Kobe Bryant*,2.0,5.1,7.34,-2.24
2008,Finals,BOS,LAL,W,4-2,Kevin Garnett*,2.1,Paul Pierce*,1.4,0.7,Kobe Bryant*,2.0,9.3,7.34,1.96
2008,Finals,LAL,BOS,L,2-4,Kobe Bryant*,2.0,Pau Gasol*,1.3,0.7,Kevin Garnett*,2.1,7.34,9.3,-1.96
2007,Eastern Conf First Round,CHI,MIA,W,4-0,Luol Deng,0.8,Ben Wallace*,0.6,0.2,James Posey,0.2,4.52,-1.21,5.73
2007,Eastern Conf First Round,MIA,CHI,L,0-4,James Posey,0.2,Alonzo Mourning*,0.1,0.1,Luol Deng,0.8,-1.21,4.52,-5.73
2007,Eastern Conf First Round,CLE,WAS,W,4-0,LeBron James,2.2,Daniel Gibson,0.8,1.4,Antonio Daniels,0.3,3.33,-0.8,4.13
2007,Eastern Conf First Round,WAS,CLE,L,0-4,Antonio Daniels,0.3,Antawn Jamison,0.3,0.0,LeBron James,2.2,-0.8,3.33,-4.13
2007,Eastern Conf First Round,DET,ORL,W,4-0,Chauncey Billups*,1.0,Rasheed Wallace,1.0,0.0,Darko MiliÄiÄ,0.2,3.69,0.35,3.34
2007,Eastern Conf First Round,ORL,DET,L,0-4,Darko MiliÄiÄ,0.2,Keyon Dooling,0.1,0.1,Chauncey Billups*,1.0,0.35,3.69,-3.34
2007,Eastern Conf First Round,NJN,TOR,W,4-2,Jason Kidd*,1.3,Vince Carter*,0.4,0.9,T.J. Ford,0.3,-1.0,0.61,-1.61
2007,Eastern Conf First Round,TOR,NJN,L,2-4,T.J. Ford,0.3,Anthony Parker,0.2,0.1,Jason Kidd*,1.3,0.61,-1.0,1.61
2007,Western Conf First Round,GSW,DAL,W,4-2,Baron Davis,1.2,Jason Richardson,0.4,0.8,Josh Howard,0.5,0.0,7.28,-7.28
2007,Western Conf First Round,DAL,GSW,L,2-4,Josh Howard,0.5,Dirk Nowitzki*,0.3,0.2,Baron Davis,1.2,7.28,0.0,7.28
2007,Western Conf First Round,PHO,LAL,W,4-1,Steve Nash*,0.8,Shawn Marion,0.7,0.1,Kobe Bryant*,0.4,7.28,0.24,7.04
2007,Western Conf First Round,LAL,PHO,L,1-4,Kobe Bryant*,0.4,Lamar Odom,0.2,0.2,Steve Nash*,0.8,0.24,7.28,-7.04
2007,Western Conf First Round,SAS,DEN,W,4-1,Tim Duncan*,1.7,Manu GinÃ³bili*,1.2,0.5,Carmelo Anthony*,0.4,8.35,1.69,6.66
2007,Western Conf First Round,DEN,SAS,L,1-4,Carmelo Anthony*,0.4,Marcus Camby,0.2,0.2,Tim Duncan*,1.7,1.69,8.35,-6.66
2007,Western Conf First Round,UTA,HOU,W,4-3,Carlos Boozer,1.2,Deron Williams,0.9,0.3,Shane Battier,0.5,3.06,5.04,-1.98
2007,Western Conf First Round,HOU,UTA,L,3-4,Shane Battier,0.5,Tracy McGrady*,0.5,0.0,Carlos Boozer,1.2,5.04,3.06,1.98
2007,Eastern Conf Semifinals,CLE,NJN,W,4-2,LeBron James,2.2,Daniel Gibson,0.8,1.4,Jason Kidd*,1.3,3.33,-1.0,4.33
2007,Eastern Conf Semifinals,NJN,CLE,L,2-4,Jason Kidd*,1.3,Vince Carter*,0.4,0.9,LeBron James,2.2,-1.0,3.33,-4.33
2007,Eastern Conf Semifinals,DET,CHI,W,4-2,Chauncey Billups*,1.0,Rasheed Wallace,1.0,0.0,Luol Deng,0.8,3.69,4.52,-0.83
2007,Eastern Conf Semifinals,CHI,DET,L,2-4,Luol Deng,0.8,Ben Wallace*,0.6,0.2,Chauncey Billups*,1.0,4.52,3.69,0.83
2007,Western Conf Semifinals,SAS,PHO,W,4-2,Tim Duncan*,1.7,Manu GinÃ³bili*,1.2,0.5,Steve Nash*,0.8,8.35,7.28,1.07
2007,Western Conf Semifinals,PHO,SAS,L,2-4,Steve Nash*,0.8,Shawn Marion,0.7,0.1,Tim Duncan*,1.7,7.28,8.35,-1.07
2007,Western Conf Semifinals,UTA,GSW,W,4-1,Carlos Boozer,1.2,Deron Williams,0.9,0.3,Baron Davis,1.2,3.06,0.0,3.06
2007,Western Conf Semifinals,GSW,UTA,L,1-4,Baron Davis,1.2,Jason Richardson,0.4,0.8,Carlos Boozer,1.2,0.0,3.06,-3.06
2007,Eastern Conf Finals,CLE,DET,W,4-2,LeBron James,2.2,Daniel Gibson,0.8,1.4,Chauncey Billups*,1.0,3.33,3.69,-0.36
2007,Eastern Conf Finals,DET,CLE,L,2-4,Chauncey Billups*,1.0,Rasheed Wallace,1.0,0.0,LeBron James,2.2,3.69,3.33,0.36
2007,Western Conf Finals,SAS,UTA,W,4-1,Tim Duncan*,1.7,Manu GinÃ³bili*,1.2,0.5,Carlos Boozer,1.2,8.35,3.06,5.29
2007,Western Conf Finals,UTA,SAS,L,1-4,Carlos Boozer,1.2,Deron Williams,0.9,0.3,Tim Duncan*,1.7,3.06,8.35,-5.29
2007,Finals,SAS,CLE,W,4-0,Tim Duncan*,1.7,Manu GinÃ³bili*,1.2,0.5,LeBron James,2.2,8.35,3.33,5.02
2007,Finals,CLE,SAS,L,0-4,LeBron James,2.2,Daniel Gibson,0.8,1.4,Tim Duncan*,1.7,3.33,8.35,-5.02
2006,Eastern Conf First Round,CLE,WAS,W,4-2,LeBron James,1.4,Donyell Marshall,0.4,1.0,Gilbert Arenas,0.7,2.17,1.57,0.6
2006,Eastern Conf First Round,WAS,CLE,L,2-4,Gilbert Arenas,0.7,Caron Butler,0.1,0.6,LeBron James,1.4,1.57,2.17,-0.6
2006,Eastern Conf First Round,DET,MIL,W,4-1,Tayshaun Prince,1.2,Chauncey Billups*,1.1,0.1,Michael Redd,0.4,6.24,-1.07,7.31
2006,Eastern Conf First Round,MIL,DET,L,1-4,Michael Redd,0.4,Dan Gadzuric,0.1,0.3,Tayshaun Prince,1.2,-1.07,6.24,-7.31
2006,Eastern Conf First Round,MIA,CHI,W,4-2,Dwyane Wade*,2.7,James Posey,0.7,2.0,AndrÃ©s Nocioni,0.4,3.59,0.51,3.08
2006,Eastern Conf First Round,CHI,MIA,L,2-4,AndrÃ©s Nocioni,0.4,Kirk Hinrich,0.3,0.1,Dwyane Wade*,2.7,0.51,3.59,-3.08
