Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2016,Western Conf First Round,SAS,MEM,W,4-0,Kawhi Leonard,1.2,Danny Green,0.6,0.6,Vince Carter*,0.2,10.28,-2.14,12.42
2016,Western Conf First Round,MEM,SAS,L,0-4,Vince Carter*,0.2,JaMychal Green,0.1,0.1,Kawhi Leonard,1.2,-2.14,10.28,-12.42
2016,Western Conf First Round,OKC,DAL,W,4-1,Russell Westbrook,1.9,Kevin Durant,1.1,0.8,Dirk Nowitzki*,0.2,7.09,-0.02,7.11
2016,Western Conf First Round,DAL,OKC,L,1-4,Dirk Nowitzki*,0.2,Zaza Pachulia,0.2,0.0,Russell Westbrook,1.9,-0.02,7.09,-7.11
2016,Western Conf First Round,POR,LAC,W,4-2,Damian Lillard,0.7,Al-Farouq Aminu,0.4,0.3,Chris Paul,0.5,0.98,4.13,-3.15
2016,Western Conf First Round,LAC,POR,L,2-4,Chris Paul,0.5,DeAndre Jordan,0.4,0.1,Damian Lillard,0.7,4.13,0.98,3.15
2016,Eastern Conf Semifinals,CLE,ATL,W,4-0,LeBron James,2.7,Kyrie Irving,1.6,1.1,Al Horford,0.5,5.45,3.49,1.96
2016,Eastern Conf Semifinals,ATL,CLE,L,0-4,Al Horford,0.5,Paul Millsap,0.4,0.1,LeBron James,2.7,3.49,5.45,-1.96
2016,Eastern Conf Semifinals,TOR,MIA,W,4-3,Kyle Lowry,0.9,Jonas ValanÄiÅ«nas,0.6,0.3,Dwyane Wade*,0.8,4.08,1.5,2.58
2016,Eastern Conf Semifinals,MIA,TOR,L,3-4,Dwyane Wade*,0.8,Luol Deng,0.6,0.2,Kyle Lowry,0.9,1.5,4.08,-2.58
2016,Western Conf Semifinals,GSW,POR,W,4-1,Draymond Green,1.7,Stephen Curry,1.4,0.3,Damian Lillard,0.7,10.38,0.98,9.4
2016,Western Conf Semifinals,POR,GSW,L,1-4,Damian Lillard,0.7,Al-Farouq Aminu,0.4,0.3,Draymond Green,1.7,0.98,10.38,-9.4
2016,Western Conf Semifinals,OKC,SAS,W,4-2,Russell Westbrook,1.9,Kevin Durant,1.1,0.8,Kawhi Leonard,1.2,7.09,10.28,-3.19
2016,Western Conf Semifinals,SAS,OKC,L,2-4,Kawhi Leonard,1.2,Danny Green,0.6,0.6,Russell Westbrook,1.9,10.28,7.09,3.19
2016,Eastern Conf Finals,CLE,TOR,W,4-2,LeBron James,2.7,Kyrie Irving,1.6,1.1,Kyle Lowry,0.9,5.45,4.08,1.37
2016,Eastern Conf Finals,TOR,CLE,L,2-4,Kyle Lowry,0.9,Jonas ValanÄiÅ«nas,0.6,0.3,LeBron James,2.7,4.08,5.45,-1.37
2016,Western Conf Finals,GSW,OKC,W,4-3,Draymond Green,1.7,Stephen Curry,1.4,0.3,Russell Westbrook,1.9,10.38,7.09,3.29
2016,Western Conf Finals,OKC,GSW,L,3-4,Russell Westbrook,1.9,Kevin Durant,1.1,0.8,Draymond Green,1.7,7.09,10.38,-3.29
2016,Finals,CLE,GSW,W,4-3,LeBron James,2.7,Kyrie Irving,1.6,1.1,Draymond Green,1.7,5.45,10.38,-4.93
2016,Finals,GSW,CLE,L,3-4,Draymond Green,1.7,Stephen Curry,1.4,0.3,LeBron James,2.7,10.38,5.45,4.93
2015,Eastern Conf First Round,ATL,BRK,W,4-2,Al Horford,0.8,DeMarre Carroll,0.7,0.1,Brook Lopez,0.3,4.75,-3.13,7.88
2015,Eastern Conf First Round,BRK,ATL,L,2-4,Brook Lopez,0.3,Alan Anderson,0.2,0.1,Al Horford,0.8,-3.13,4.75,-7.88
2015,Eastern Conf First Round,CLE,BOS,W,4-0,LeBron James,2.1,Kyrie Irving,0.8,1.3,Jae Crowder,0.2,4.08,-0.4,4.48
2015,Eastern Conf First Round,BOS,CLE,L,0-4,Jae Crowder,0.2,Brandon Bass,0.1,0.1,LeBron James,2.1,-0.4,4.08,-4.48
2015,Eastern Conf First Round,CHI,MIL,W,4-2,Jimmy Butler,1.0,Mike Dunleavy,0.5,0.5,Jared Dudley,0.2,2.54,-0.09,2.63
2015,Eastern Conf First Round,MIL,CHI,L,2-4,Jared Dudley,0.2,John Henson,0.1,0.1,Jimmy Butler,1.0,-0.09,2.54,-2.63
2015,Eastern Conf First Round,WAS,TOR,W,4-0,Bradley Beal,0.5,Marcin Gortat,0.4,0.1,Patrick Patterson,0.2,0.17,2.45,-2.28
