Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Derek Anderson,SF,23,CLE,4.0,103.0,15.1,.643,.000,1.182,0.0,12.7,6.4,23.2,2.8,0.9,26.4,22.2,,0.1,0.1,0.2,0.097,,0.1,2.6,2.7,0.1,1998
2,Greg Anderson,C,33,ATL,1.0,4.0,-11.0,.000,,,0.0,64.9,31.9,0.0,0.0,19.3,53.2,23.6,,-0.1,0.0,0.0,-0.531,,-23.9,7.0,-16.9,0.0,1998
3,Shandon Anderson,SG,24,UTA,20.0,378.0,11.6,.562,.107,.359,8.8,11.2,10.1,9.2,0.7,0.2,20.1,19.4,,0.1,0.5,0.5,0.065,,-0.1,-0.8,-0.9,0.1,1998
4,Greg Anthony,PG,30,SEA,9.0,118.0,2.5,.368,.475,.200,3.1,7.0,5.1,13.2,2.4,0.7,20.2,21.9,,-0.4,0.0,-0.4,-0.161,,-6.8,-3.2,-10.0,-0.2,1998
5,B.J. Armstrong,PG,30,CHH,9.0,146.0,9.4,.423,.119,.095,1.7,6.7,4.3,21.2,2.4,0.0,12.1,17.2,,-0.1,0.1,0.0,0.002,,-1.8,0.1,-1.7,0.0,1998
6,Keith Askins,SF,30,MIA,4.0,58.0,2.1,.357,.714,.000,2.1,12.5,7.4,2.9,1.9,0.0,12.5,6.9,,-0.1,0.1,0.0,0.011,,-4.5,1.1,-3.4,0.0,1998
7,Stacey Augmon,SG,29,POR,4.0,28.0,8.2,.512,.000,.500,4.1,9.1,6.5,5.3,3.8,3.0,29.1,10.9,,0.0,0.0,0.0,-0.025,,-2.2,3.2,1.0,0.0,1998
8,Vin Baker,C,26,SEA,10.0,371.0,19.5,.524,.000,.284,13.5,16.9,15.2,8.8,2.7,3.3,12.7,22.1,,0.5,0.2,0.6,0.082,,1.4,-0.2,1.3,0.3,1998
9,Charles Barkley*,PF,34,HOU,4.0,87.0,16.2,.558,.087,.913,6.1,21.6,13.4,9.9,3.1,0.0,15.7,20.8,,0.1,0.2,0.2,0.12,,-0.2,1.2,1.0,0.1,1998
10,Drew Barry,PG,24,ATL,2.0,5.0,-5.0,.000,1.000,.000,0.0,25.9,12.8,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,-0.18,,-12.5,-2.8,-15.4,0.0,1998
11,Jon Barry,SG,28,LAL,7.0,18.0,-13.6,.000,.625,.000,0.0,13.6,6.7,0.0,3.0,0.0,0.0,20.6,,-0.2,0.0,-0.2,-0.426,,-16.5,-3.9,-20.4,-0.1,1998
12,Corey Beck,PG,26,CHH,6.0,26.0,19.2,.582,.167,.167,4.8,0.0,2.4,0.0,8.8,0.0,18.9,30.7,,0.0,0.1,0.0,0.05,,0.2,5.6,5.7,0.1,1998
13,Mario Bennett,PF,24,LAL,4.0,10.0,29.5,.694,.000,1.000,23.8,49.1,36.2,0.0,0.0,7.5,0.0,13.3,,0.1,0.0,0.1,0.39,,4.9,2.3,7.2,0.0,1998
14,Travis Best,PG,25,IND,16.0,280.0,11.6,.533,.250,.597,0.5,6.7,3.7,19.6,2.2,0.8,17.3,19.5,,0.2,0.3,0.5,0.082,,-1.5,0.6,-0.9,0.1,1998
15,Mookie Blaylock,PG,30,ATL,4.0,153.0,21.1,.506,.509,.226,4.9,11.9,8.3,40.1,3.4,0.5,13.4,22.1,,0.3,0.2,0.6,0.185,,5.0,2.2,7.2,0.4,1998
16,Corie Blount,PF,29,LAL,12.0,209.0,12.3,.537,.000,.458,13.6,23.5,18.5,4.9,1.6,1.4,9.4,7.1,,0.4,0.1,0.5,0.114,,-0.3,-0.3,-0.6,0.1,1998
17,Anthony Bowie,SG,34,NYK,7.0,23.0,3.1,.500,.000,.000,0.0,0.0,0.0,7.5,2.4,0.0,20.0,10.5,,0.0,0.0,0.0,0.007,,-6.1,1.5,-4.6,0.0,1998
18,Scott Brooks,PG,32,CLE,1.0,8.0,14.9,.532,.000,2.000,0.0,0.0,0.0,44.9,0.0,0.0,0.0,11.8,,0.0,0.0,0.0,0.189,,2.4,-0.2,2.2,0.0,1998
19,Chucky Brown,SF,29,ATL,4.0,50.0,10.2,.504,.133,.133,2.5,13.0,7.7,14.8,0.0,0.0,11.2,18.0,,0.0,0.0,0.1,0.067,,-1.5,-0.3,-1.8,0.0,1998
20,Mike Brown,C-F,34,PHO,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.028,,-7.8,-4.8,-12.6,0.0,1998
21,P.J. Brown,PF,28,MIA,5.0,190.0,11.6,.493,.000,.595,9.8,18.4,14.1,4.0,2.1,1.3,11.4,13.8,,0.1,0.3,0.4,0.089,,-0.8,0.0,-0.7,0.1,1998
22,Randy Brown,PG,29,CHI,14.0,71.0,2.5,.307,.000,.500,5.0,11.0,7.9,18.7,1.6,0.0,32.3,14.5,,-0.2,0.1,-0.1,-0.076,,-6.8,-1.1,-7.8,-0.1,1998
23,Kobe Bryant*,SF,19,LAL,11.0,220.0,12.8,.501,.184,.592,3.8,7.8,5.8,12.1,0.7,2.7,10.3,22.5,,0.3,0.0,0.2,0.046,,-0.2,-2.0,-2.2,0.0,1998
