Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Jordan Adams,SG,20,MEM,4.0,10.0,31.4,.735,.333,1.333,0.0,11.3,5.5,0.0,5.2,0.0,0.0,21.7,,0.1,0.0,0.1,0.327,,11.7,7.1,18.8,0.1,2015
2,Arron Afflalo,SG,29,POR,3.0,60.0,-5.0,.201,.333,.083,0.0,12.8,6.3,5.0,0.0,0.0,19.4,11.8,,-0.2,0.0,-0.2,-0.186,,-8.8,-3.0,-11.8,-0.1,2015
3,Alexis AjinÃ§a,C,26,NOP,3.0,10.0,42.0,1.000,.000,.000,0.0,10.9,5.6,26.9,5.2,0.0,0.0,18.3,,0.1,0.0,0.1,0.367,,10.9,7.9,18.8,0.1,2015
4,LaMarcus Aldridge,PF,29,POR,5.0,208.0,16.7,.426,.098,.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,,0.0,0.2,0.1,0.032,,1.7,-1.4,0.4,0.1,2015
5,Tony Allen,SG,33,MEM,10.0,279.0,14.2,.530,.123,.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,,0.1,0.6,0.6,0.111,,-1.2,5.1,3.9,0.4,2015
6,Al-Farouq Aminu,SF,24,DAL,5.0,150.0,20.4,.711,.355,.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,,0.5,0.1,0.6,0.199,,4.4,3.1,7.5,0.4,2015
7,Alan Anderson,SG,32,BRK,6.0,142.0,17.7,.734,.390,.220,1.5,14.5,8.0,8.7,1.4,0.6,15.1,17.1,,0.3,0.1,0.4,0.145,,2.9,1.7,4.6,0.2,2015
8,Ryan Anderson,PF,26,NOP,4.0,95.0,16.2,.556,.333,.167,8.4,11.5,10.0,15.7,0.0,1.8,9.4,20.6,,0.2,-0.1,0.2,0.078,,2.8,-1.4,1.4,0.1,2015
9,Giannis Antetokounmpo,SG,20,MIL,6.0,201.0,10.9,.425,.014,.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,,-0.2,0.2,0.0,-0.003,,-2.6,0.3,-2.3,0.0,2015
10,Pero AntiÄ,C,32,ATL,15.0,199.0,8.5,.516,.640,.500,4.8,18.3,11.6,3.0,0.5,1.2,7.6,15.1,,0.2,0.2,0.4,0.092,,-3.9,-0.3,-4.2,-0.1,2015
11,Trevor Ariza,SF,29,HOU,17.0,655.0,12.9,.576,.545,.239,2.9,14.2,8.6,10.1,2.2,0.2,10.6,13.9,,1.0,0.4,1.3,0.098,,0.2,1.6,1.7,0.6,2015
12,Ãmer AÅÄ±k,C,28,NOP,4.0,79.0,9.4,.306,.000,.700,17.3,23.4,20.4,10.2,3.3,0.0,27.7,10.5,,0.0,0.0,0.0,-0.001,,-2.4,-0.2,-2.6,0.0,2015
13,Jeff Ayres,PF,27,SAS,3.0,12.0,5.7,.000,.000,.000,0.0,27.6,13.3,21.2,0.0,0.0,0.0,3.7,,0.0,0.0,0.0,0.014,,-1.5,3.5,2.0,0.0,2015
14,Leandro Barbosa,SG,32,GSW,21.0,229.0,13.3,.532,.261,.250,3.9,8.9,6.4,12.8,1.3,0.3,10.9,21.5,,0.3,0.3,0.5,0.113,,-0.8,-0.1,-0.9,0.1,2015
15,J.J. Barea,PG,30,DAL,5.0,154.0,13.7,.495,.281,.105,3.2,13.2,8.0,34.1,1.2,0.0,19.0,19.6,,0.1,0.0,0.1,0.04,,0.4,-0.7,-0.2,0.1,2015
16,Harrison Barnes,SF,22,GSW,21.0,681.0,12.2,.519,.310,.170,7.3,10.3,8.8,7.2,1.3,1.3,9.3,15.6,,0.8,0.8,1.6,0.115,,0.4,0.3,0.7,0.5,2015
17,Matt Barnes,SF,34,LAC,14.0,409.0,9.7,.492,.600,.200,4.2,13.9,9.1,7.4,2.4,2.1,12.8,13.2,,0.1,0.4,0.5,0.055,,-1.3,0.9,-0.4,0.2,2015
18,Brandon Bass,PF,29,BOS,4.0,86.0,9.0,.410,.000,.500,3.7,6.5,5.1,18.1,0.6,3.4,10.9,14.2,,0.0,0.0,0.0,-0.022,,-0.4,0.8,0.4,0.1,2015
19,Nicolas Batum,SF,26,POR,5.0,209.0,11.1,.469,.557,.186,3.1,19.4,11.1,21.4,0.2,0.3,13.7,19.2,,0.0,0.1,0.1,0.021,,0.4,-0.6,-0.2,0.1,2015
20,Jerryd Bayless,PG,26,MIL,6.0,120.0,12.2,.459,.200,.486,3.3,10.6,6.6,25.5,0.9,1.5,8.6,17.4,,0.1,0.1,0.2,0.06,,-1.4,0.2,-1.2,0.0,2015
21,Aron Baynes,C,28,SAS,4.0,40.0,1.3,.398,.000,.300,7.8,19.3,13.3,3.5,0.0,0.0,20.9,16.1,,-0.1,0.0,0.0,-0.056,,-8.6,-1.1,-9.7,-0.1,2015
22,Kent Bazemore,SG,25,ATL,16.0,303.0,10.5,.514,.394,.437,1.1,17.7,9.4,6.5,1.9,2.4,11.5,14.4,,0.0,0.4,0.5,0.072,,-2.7,1.5,-1.2,0.1,2015
23,Bradley Beal,SG,21,WAS,10.0,418.0,17.9,.518,.315,.295,3.8,10.3,7.1,19.1,1.9,1.3,10.3,26.7,,0.7,0.6,1.2,0.14,,1.7,1.3,3.0,0.5,2015
24,Marco Belinelli,SG,28,SAS,7.0,116.0,20.7,.727,.769,.333,1.8,10.5,6.0,14.1,0.9,0.0,10.1,19.2,,0.5,0.0,0.5,0.215,,5.7,2.3,8.1,0.3,2015
25,Steve Blake,PG,34,POR,5.0,43.0,2.9,.295,.727,.182,0.0,2.5,1.3,28.7,0.0,1.5,14.4,14.8,,-0.1,0.0,-0.1,-0.092,,-3.9,-2.5,-6.4,0.0,2015
26,Bojan BogdanoviÄ,SF,25,BRK,6.0,206.0,8.3,.499,.559,.119,1.6,10.5,6.0,7.7,1.0,0.9,11.4,15.6,,0.0,0.1,0.1,0.015,,-1.3,-0.7,-2.0,0.0,2015
27,Andrew Bogut,C,30,GSW,19.0,440.0,14.0,.551,.013,.173,10.3,27.4,19.0,11.9,1.3,6.2,24.4,10.9,,0.4,1.0,1.4,0.153,,-2.0,3.8,1.8,0.4,2015
28,Matt Bonner,PF,34,SAS,7.0,36.0,-2.2,.300,.900,.000,0.0,18.4,8.9,3.8,0.0,2.2,9.1,13.7,,-0.1,0.0,-0.1,-0.089,,-9.7,-0.3,-10.0,-0.1,2015
29,Avery Bradley,SG,24,BOS,4.0,133.0,8.2,.462,.380,.140,2.4,10.1,6.2,3.9,1.2,0.0,5.3,18.8,,0.0,0.0,0.0,-0.017,,-2.3,-0.4,-2.6,0.0,2015
30,Elton Brand,C,35,ATL,3.0,4.0,-12.7,.266,.000,2.000,0.0,26.8,13.4,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.139,,-22.5,-2.3,-24.8,0.0,2015
31,Corey Brewer,SF,28,HOU,17.0,428.0,10.9,.499,.251,.329,2.7,8.6,5.7,7.3,1.2,0.7,7.3,20.1,,0.2,0.1,0.3,0.031,,-1.6,-0.7,-2.2,0.0,2015
32,Aaron Brooks,PG,30,CHI,12.0,132.0,6.8,.421,.426,.115,2.5,12.2,7.5,14.9,1.2,0.6,12.3,25.2,,-0.2,0.2,-0.1,-0.029,,-4.4,-2.2,-6.6,-0.1,2015
33,Markel Brown,SG,23,BRK,2.0,10.0,15.4,.510,.400,.400,21.6,0.0,10.8,18.5,0.0,0.0,25.4,36.1,,0.0,0.0,0.0,-0.061,,1.6,-4.1,-2.5,0.0,2015
34,Jimmy Butler,SG,25,CHI,12.0,506.0,20.8,.562,.338,.338,4.0,10.4,7.3,14.1,3.0,1.4,7.9,23.9,,1.3,0.8,2.1,0.203,,4.0,1.9,5.8,1.0,2015
35,Rasual Butler,SF,35,WAS,2.0,7.0,-3.6,.000,1.000,.000,0.0,15.0,7.8,18.6,0.0,0.0,0.0,6.3,,0.0,0.0,0.0,-0.039,,-10.9,-0.3,-11.2,0.0,2015
36,Will Bynum,SG,32,WAS,3.0,31.0,16.5,.586,.143,.357,7.2,3.4,5.3,17.8,3.3,2.6,23.6,30.3,,0.0,0.0,0.1,0.078,,-2.8,1.1,-1.7,0.0,2015
37,Nick Calathes,SG,25,MEM,9.0,126.0,7.8,.418,.361,.222,0.9,13.4,7.0,19.6,3.7,0.7,20.2,18.0,,-0.2,0.2,-0.1,-0.022,,-5.0,1.8,-3.1,0.0,2015
38,Clint Capela,C,20,HOU,17.0,127.0,21.8,.651,.000,.935,10.8,23.4,17.2,6.4,1.1,5.6,6.4,15.4,,0.4,0.1,0.6,0.217,,1.9,2.9,4.9,0.2,2015
39,DeMarre Carroll,SF,28,ATL,16.0,558.0,16.8,.597,.407,.232,5.0,13.6,9.3,9.5,1.7,0.7,7.1,17.1,,1.2,0.6,1.8,0.157,,2.1,0.6,2.7,0.7,2015
40,Vince Carter*,SG,38,MEM,11.0,196.0,13.7,.486,.418,.134,7.2,19.5,13.2,9.3,1.9,0.9,9.0,18.2,,0.1,0.2,0.3,0.085,,-0.2,1.7,1.5,0.2,2015
41,Michael Carter-Williams,PG,23,MIL,6.0,191.0,11.5,.438,.064,.154,0.5,15.8,7.5,29.5,1.9,2.8,16.1,23.4,,-0.3,0.2,-0.1,-0.032,,-2.7,1.0,-1.7,0.0,2015
42,Tyson Chandler,C,32,DAL,5.0,160.0,17.3,.631,.000,.897,16.7,18.0,17.3,0.8,0.9,3.0,11.0,11.6,,0.4,0.0,0.5,0.146,,2.2,-1.8,0.4,0.1,2015
43,Earl Clark,PF,27,BRK,2.0,13.0,1.2,.300,.300,.000,0.0,16.7,8.3,0.0,3.9,0.0,0.0,35.2,,-0.1,0.0,-0.1,-0.235,,-3.5,-3.2,-6.7,0.0,2015
44,Norris Cole,PG,26,NOP,4.0,106.0,3.8,.469,.389,.083,1.1,6.2,3.7,10.5,0.0,0.8,17.7,19.6,,-0.2,-0.1,-0.3,-0.123,,-5.3,-3.8,-9.2,-0.2,2015
45,Mike Conley,PG,27,MEM,8.0,243.0,17.5,.531,.344,.292,0.0,4.2,2.0,28.6,2.4,0.0,10.0,22.6,,0.4,0.2,0.6,0.111,,3.1,0.7,3.8,0.4,2015
46,Allen Crabbe,SG,22,POR,2.0,39.0,15.0,1.000,.400,.000,0.0,8.4,4.2,4.3,2.7,1.7,16.7,7.1,,0.1,0.0,0.1,0.145,,2.4,4.1,6.5,0.1,2015
47,Jamal Crawford,SG,34,LAC,14.0,379.0,10.0,.447,.398,.161,1.7,6.6,4.2,11.1,1.7,0.7,7.9,24.8,,-0.3,0.1,-0.2,-0.02,,-1.4,-2.2,-3.6,-0.2,2015
48,Jae Crowder,SF,24,BOS,4.0,100.0,19.2,.619,.345,.448,8.5,13.5,10.9,13.9,2.1,2.9,12.6,17.7,,0.3,0.1,0.3,0.154,,2.7,3.2,5.9,0.2,2015
49,Dante Cunningham,PF,27,NOP,4.0,75.0,19.8,.852,.000,.273,6.1,20.3,13.4,4.1,2.1,4.6,0.0,7.5,,0.3,0.0,0.3,0.193,,3.4,4.3,7.7,0.2,2015
50,Stephen Curry,PG,26,GSW,21.0,826.0,24.5,.607,.528,.262,2.7,11.1,6.9,29.9,2.4,0.3,14.3,31.0,,2.7,1.2,3.9,0.228,,7.7,1.1,8.8,2.2,2015
51,Gigi Datome,SF,27,BOS,3.0,14.0,-0.4,.333,.333,.000,0.0,8.0,3.9,12.3,0.0,0.0,0.0,19.1,,0.0,0.0,0.0,-0.124,,-8.0,-1.2,-9.2,0.0,2015
52,Anthony Davis,PF,21,NOP,4.0,172.0,28.5,.613,.023,.414,6.0,22.1,14.2,9.3,1.5,6.1,11.2,30.8,,0.6,0.1,0.7,0.183,,6.1,1.3,7.4,0.4,2015
53,Glen Davis,PF,29,LAC,14.0,144.0,7.1,.489,.026,.237,6.7,13.0,9.9,3.0,1.7,3.0,17.7,15.4,,-0.1,0.1,0.1,0.018,,-5.3,0.3,-5.0,-0.1,2015
54,Matthew Dellavedova,SG,24,CLE,20.0,497.0,6.8,.476,.559,.235,2.2,6.8,4.5,17.3,1.0,0.0,18.9,16.9,,-0.1,0.3,0.2,0.02,,-3.0,-0.8,-3.8,-0.2,2015
55,DeMar DeRozan,SG,25,TOR,4.0,159.0,15.7,.463,.100,.213,3.4,15.2,8.9,26.5,1.9,0.0,10.3,27.5,,0.0,0.0,0.0,-0.007,,1.6,-0.8,0.8,0.1,2015
56,Boris Diaw,PF,32,SAS,7.0,198.0,16.5,.528,.254,.183,6.8,16.7,11.6,20.6,1.3,1.2,10.5,19.4,,0.4,0.2,0.5,0.127,,0.9,2.2,3.1,0.3,2015
57,Joey Dorsey,PF,31,HOU,6.0,13.0,0.6,.174,.000,1.000,8.1,23.7,16.0,19.8,0.0,0.0,25.8,12.5,,0.0,0.0,0.0,-0.117,,-6.2,0.2,-5.9,0.0,2015
58,Jared Dudley,SG,29,MIL,6.0,110.0,17.2,.605,.467,.233,2.7,8.4,5.3,13.0,5.6,1.6,13.1,15.6,,0.1,0.2,0.3,0.143,,0.8,5.4,6.2,0.2,2015
59,Tim Duncan*,C,38,SAS,7.0,250.0,24.2,.595,.011,.378,7.9,26.0,16.6,16.0,1.8,3.1,6.3,20.1,,0.8,0.4,1.2,0.229,,3.9,3.5,7.5,0.6,2015
60,Mike Dunleavy,SF,34,CHI,12.0,389.0,14.4,.680,.636,.216,2.0,11.3,6.8,13.1,1.4,1.0,13.5,13.0,,0.9,0.5,1.4,0.169,,1.6,1.5,3.2,0.5,2015
