Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Jaylen Adams,PG,23,POR,3.0,21.0,7.7,.333,.444,.000,5.0,10.1,7.5,14.9,2.2,0.0,0.0,17.9,,0.0,0.0,0.0,-0.051,,-3.6,-2.6,-6.1,0.0,2020
2,Steven Adams,C,26,OKC,7.0,210.0,16.3,.584,.019,.385,17.6,22.6,20.2,7.1,0.9,1.2,20.8,15.8,,0.2,0.3,0.5,0.109,,0.6,-0.7,-0.1,0.1,2020
3,Bam Adebayo,PF,22,MIA,19.0,687.0,20.8,.625,.005,.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,,1.7,0.9,2.6,0.18,,2.3,1.8,4.1,1.0,2020
4,Jarrett Allen,C,21,BRK,4.0,132.0,17.1,.660,.000,.667,12.1,34.5,22.5,10.5,0.7,5.1,26.2,13.1,,0.2,0.1,0.2,0.078,,-0.3,0.3,-0.1,0.1,2020
5,Justin Anderson,SG,26,BRK,3.0,28.0,20.6,.690,.917,.333,0.0,31.0,14.4,18.6,0.0,3.4,12.7,23.2,,0.1,0.0,0.1,0.112,,5.1,2.0,7.0,0.1,2020
6,Giannis Antetokounmpo,PF,25,MIL,9.0,277.0,31.3,.610,.248,.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,,0.9,0.5,1.4,0.238,,7.8,3.4,11.2,0.9,2020
7,Carmelo Anthony*,PF,35,POR,5.0,176.0,8.4,.512,.279,.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,,-0.2,0.1,-0.1,-0.021,,-2.3,-0.7,-2.9,0.0,2020
8,OG Anunoby,SF,22,TOR,11.0,393.0,11.5,.573,.466,.318,7.0,14.0,10.4,4.7,1.4,3.5,13.8,13.1,,0.2,0.7,0.9,0.116,,-0.6,1.5,0.9,0.3,2020
9,D.J. Augustin,PG,32,ORL,5.0,128.0,15.0,.588,.370,.500,0.0,8.4,4.0,36.9,0.4,0.0,17.6,22.7,,0.2,0.1,0.2,0.089,,1.6,-1.7,0.0,0.1,2020
10,J.J. Barea,PG,35,DAL,1.0,5.0,4.4,.647,.000,3.000,0.0,0.0,0.0,0.0,0.0,0.0,30.1,28.6,,0.0,0.0,0.0,-0.097,,-7.9,-5.9,-13.8,0.0,2020
11,Keita Bates-Diop,SF,24,DEN,5.0,24.0,5.7,.255,.000,.400,15.0,14.8,14.9,5.5,0.0,0.0,0.0,11.2,,0.0,0.0,0.0,-0.031,,-2.0,-4.7,-6.8,0.0,2020
12,Darius Bazley,PF,19,OKC,7.0,126.0,14.3,.650,.710,.323,1.7,36.0,19.5,7.3,0.0,2.9,14.5,14.2,,0.2,0.2,0.3,0.133,,2.7,3.0,5.7,0.2,2020
13,Patrick Beverley,PG,31,LAC,8.0,166.0,13.7,.613,.564,.103,6.0,16.3,11.1,15.8,2.4,1.7,14.7,12.6,,0.3,0.2,0.5,0.146,,-1.1,3.6,2.5,0.2,2020
14,Khem Birch,C,27,ORL,5.0,89.0,11.6,.637,.000,.786,9.9,19.4,14.4,11.3,0.5,0.0,21.0,11.4,,0.2,0.1,0.2,0.121,,-2.0,0.5,-1.4,0.0,2020
