Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Cory Alexander,PG,22,SAS,9.0,70.0,11.6,.480,.208,.292,7.1,8.4,7.8,22.2,1.6,0.0,18.1,22.8,,0.0,0.0,0.0,-0.006,,-1.4,-1.0,-2.5,0.0,1996
2,John Amaechi,PF,25,CLE,1.0,2.0,-21.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,,0.0,0.0,0.0,-0.609,,-21.3,-15.4,-36.7,0.0,1996
3,Greg Anderson,PF,31,SAS,6.0,34.0,-3.6,.085,.000,.400,7.3,24.2,16.0,0.0,3.3,2.1,40.5,14.0,,-0.2,0.0,-0.2,-0.239,,-12.3,-1.0,-13.3,-0.1,1996
4,Nick Anderson,SG,28,ORL,11.0,418.0,14.6,.531,.496,.354,4.8,11.8,8.3,7.6,2.8,1.0,12.5,19.0,,0.4,0.2,0.6,0.072,,1.2,0.5,1.7,0.4,1996
5,Willie Anderson,SG,29,NYK,4.0,64.0,5.3,.419,.273,.318,4.2,12.3,8.6,2.8,3.5,0.0,19.3,24.0,,-0.2,0.1,-0.1,-0.065,,-5.6,1.6,-4.1,0.0,1996
6,Vincent Askew,SG,29,SEA,19.0,345.0,4.8,.431,.329,.400,2.0,12.1,7.5,12.3,2.1,2.0,25.4,15.5,,-0.6,0.5,-0.2,-0.023,,-4.9,1.4,-3.5,-0.1,1996
7,Keith Askins,SF,28,MIA,3.0,48.0,6.2,.528,.545,.273,7.3,13.0,10.1,7.6,1.1,0.0,24.5,15.9,,0.0,0.0,0.0,-0.043,,-3.6,-0.2,-3.8,0.0,1996
8,Stacey Augmon,SF,27,ATL,10.0,314.0,14.3,.575,.014,.556,3.4,10.9,7.1,14.8,2.0,1.5,15.9,16.4,,0.5,0.1,0.5,0.083,,-0.8,0.8,0.0,0.2,1996
9,Charles Barkley*,PF,32,PHO,4.0,164.0,27.5,.562,.171,.671,11.5,27.5,18.8,15.4,1.3,1.7,6.2,26.1,,0.7,0.0,0.7,0.197,,7.4,0.6,8.0,0.4,1996
10,Mario Bennett,SF,22,PHO,2.0,8.0,10.1,.500,.000,.000,26.1,15.7,21.4,0.0,0.0,0.0,33.3,33.2,,0.0,0.0,0.0,-0.282,,-4.0,-9.1,-13.1,0.0,1996
11,David Benoit,SF,27,UTA,14.0,259.0,10.0,.588,.400,.129,2.9,15.4,9.1,4.5,0.2,1.1,15.9,16.4,,0.1,0.3,0.4,0.075,,0.6,-0.5,0.1,0.1,1996
12,Travis Best,PG,23,IND,5.0,84.0,13.6,.578,.273,.318,4.8,10.9,8.0,20.2,4.1,0.0,28.5,19.9,,0.0,0.1,0.1,0.076,,-2.1,2.8,0.7,0.1,1996
13,Mookie Blaylock,PG,28,ATL,10.0,426.0,18.1,.550,.579,.166,3.6,8.9,6.2,27.3,2.9,1.5,15.7,20.9,,0.7,0.1,0.8,0.094,,4.0,0.6,4.6,0.7,1996
14,Anthony Bonner,PF,27,ORL,4.0,16.0,6.8,.387,.000,.667,15.8,0.0,7.9,8.6,0.0,0.0,0.0,11.5,,0.0,0.0,0.0,0.039,,-4.3,-2.4,-6.6,0.0,1996
15,Anthony Bowie,SG,32,ORL,12.0,152.0,9.3,.522,.000,.148,2.5,11.6,7.1,13.0,1.1,1.1,14.8,10.5,,0.1,0.0,0.2,0.049,,-1.6,0.9,-0.8,0.0,1996
16,Donnie Boyce,SG,22,ATL,1.0,2.0,-39.7,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,,0.0,0.0,0.0,-1.12,,-29.7,-20.5,-50.2,0.0,1996
