Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Kenny Anderson,PG,26,POR,4.0,169.0,17.1,.620,.413,.435,1.4,11.7,6.3,20.4,2.3,0.5,16.7,18.6,,0.3,0.1,0.4,0.121,,2.5,0.8,3.3,0.2,1997
2,Nick Anderson,SG,29,ORL,5.0,130.0,8.4,.380,.417,.056,2.6,23.2,12.8,4.4,1.3,6.4,14.0,16.4,,-0.3,0.2,-0.1,-0.04,,-2.6,1.7,-0.9,0.0,1997
3,Shandon Anderson,SG,23,UTA,18.0,296.0,11.3,.530,.182,.424,8.4,11.2,9.8,7.3,2.1,0.3,14.2,14.7,,0.2,0.3,0.5,0.084,,0.0,0.7,0.7,0.2,1997
4,Willie Anderson,SG,30,MIA,9.0,120.0,4.5,.480,.267,.333,2.0,14.2,8.2,8.0,1.9,1.3,25.9,18.5,,-0.3,0.2,0.0,-0.007,,-5.9,2.4,-3.5,0.0,1997
5,Darrell Armstrong,PG,28,ORL,5.0,143.0,20.8,.597,.429,.310,2.4,14.6,8.5,24.7,3.2,0.7,12.8,19.0,,0.3,0.2,0.5,0.167,,3.3,2.6,5.9,0.3,1997
6,Keith Askins,SF,29,MIA,12.0,146.0,10.3,.606,.522,.174,8.8,13.2,11.1,8.8,1.1,1.1,10.8,9.1,,0.3,0.3,0.5,0.174,,-0.8,2.8,2.0,0.1,1997
7,Stacey Augmon,SG,28,POR,4.0,35.0,5.3,.451,.000,.667,3.5,0.0,1.8,13.7,1.6,0.0,11.4,12.0,,0.0,0.0,0.0,0.015,,-3.8,0.0,-3.8,0.0,1997
8,Isaac Austin,C,27,MIA,15.0,287.0,10.7,.518,.049,.383,6.5,19.7,13.3,4.3,1.2,2.0,18.9,19.5,,-0.2,0.6,0.4,0.073,,-2.6,1.0,-1.6,0.0,1997
9,Charles Barkley*,PF,33,HOU,16.0,605.0,20.5,.557,.192,.677,13.0,24.1,18.7,15.2,1.7,0.9,14.3,22.9,,1.5,0.6,2.1,0.164,,3.1,0.2,3.3,0.8,1997
10,Brent Barry,SG,25,LAC,3.0,84.0,16.3,.565,.407,.333,1.3,10.1,5.2,21.7,2.6,0.0,11.4,20.1,,0.2,0.0,0.1,0.065,,1.6,0.7,2.3,0.1,1997
11,Jon Barry,SG,27,ATL,2.0,9.0,-13.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,,-0.1,0.0,-0.1,-0.381,,-12.8,-5.3,-18.1,0.0,1997
12,Mookie Blaylock,PG,29,ATL,10.0,441.0,16.0,.502,.552,.136,3.5,15.1,9.7,29.2,2.7,0.4,17.7,21.9,,0.2,0.5,0.7,0.079,,2.7,2.1,4.8,0.8,1997
13,Corie Blount,PF,28,LAL,3.0,8.0,18.8,.798,.000,2.000,0.0,30.5,15.4,23.2,0.0,0.0,0.0,11.3,,0.0,0.0,0.0,0.282,,1.6,5.2,6.8,0.0,1997
14,Muggsy Bogues,PG,32,CHH,2.0,58.0,19.9,.771,.368,.211,2.1,5.1,3.4,15.2,1.0,0.0,22.4,21.6,,0.2,-0.1,0.1,0.103,,6.3,-3.6,2.6,0.1,1997
15,Scott Brooks,PG,31,NYK,4.0,7.0,14.0,.615,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,,0.0,0.0,0.0,0.159,,0.7,0.0,0.8,0.0,1997
16,Mike Brown,C,33,PHO,4.0,27.0,12.1,.646,.000,1.600,8.5,8.2,8.3,5.9,0.0,0.0,10.5,15.6,,0.1,0.0,0.1,0.122,,-0.6,-0.5,-1.1,0.0,1997
17,P.J. Brown,PF,27,MIA,15.0,451.0,14.0,.483,.000,.515,12.5,20.4,16.5,4.2,1.1,3.6,11.2,15.1,,0.3,1.0,1.3,0.141,,-0.1,1.8,1.7,0.4,1997
18,Randy Brown,PG,28,CHI,17.0,98.0,4.4,.326,.000,.167,3.4,8.7,6.0,9.7,4.6,1.9,11.0,17.2,,-0.2,0.2,0.0,0.007,,-8.8,3.6,-5.2,-0.1,1997
19,Kobe Bryant*,SF,18,LAL,9.0,133.0,12.5,.543,.418,.545,0.9,9.2,5.1,16.4,1.3,1.3,17.0,29.8,,0.0,0.1,0.1,0.042,,-1.2,-0.5,-1.7,0.0,1997
20,Mark Bryant,PF,31,PHO,4.0,36.0,4.0,.486,.000,.300,3.2,9.2,6.3,0.0,0.0,0.0,15.0,16.3,,0.0,0.0,-0.1,-0.088,,-4.6,-3.6,-8.1,-0.1,1997
21,Jud Buechler,SF,28,CHI,18.0,138.0,10.5,.497,.387,.161,7.3,12.4,9.7,5.8,1.2,0.7,2.9,11.6,,0.2,0.2,0.4,0.135,,-0.4,0.6,0.2,0.1,1997
22,Matt Bullard,PF,29,HOU,2.0,7.0,45.4,1.500,1.000,.000,17.6,16.2,16.9,0.0,0.0,0.0,0.0,13.2,,0.0,0.0,0.0,0.291,,24.1,5.9,30.1,0.1,1997
23,Mitchell Butler,SG,26,POR,2.0,4.0,16.9,.500,.000,.000,0.0,32.9,15.7,0.0,0.0,0.0,0.0,23.9,,0.0,0.0,0.0,0.044,,1.5,-2.0,-0.6,0.0,1997
24,Jason Caffey,PF,23,CHI,17.0,167.0,12.5,.523,.000,.424,16.8,12.4,14.7,14.2,1.0,1.6,23.5,14.3,,0.2,0.2,0.4,0.117,,-0.7,0.2,-0.5,0.1,1997
25,Elden Campbell,PF,28,LAL,9.0,278.0,12.1,.483,.011,.409,6.3,11.0,8.7,6.1,1.4,3.9,11.3,21.4,,0.0,0.3,0.3,0.049,,-1.7,0.2,-1.5,0.0,1997
26,Antoine Carr,PF,35,UTA,20.0,280.0,8.5,.524,.000,.289,4.9,12.2,8.6,6.4,1.2,2.8,16.1,19.0,,-0.1,0.3,0.2,0.038,,-4.9,1.1,-3.8,-0.1,1997
27,Chris Carr,SG,22,MIN,1.0,8.0,-8.2,.000,1.000,.000,0.0,33.6,14.5,15.0,0.0,0.0,33.3,17.0,,-0.1,0.0,-0.1,-0.44,,-12.3,-5.7,-18.0,0.0,1997
28,Cedric Ceballos,SF,27,PHO,5.0,107.0,9.1,.452,.364,.242,9.7,17.5,13.7,4.7,1.9,2.3,18.0,18.4,,-0.1,0.0,-0.1,-0.048,,-2.7,-1.4,-4.1,-0.1,1997
29,Rex Chapman,SG,29,PHO,5.0,191.0,17.1,.644,.578,.301,1.2,8.1,4.7,14.0,0.5,0.0,13.8,25.2,,0.3,-0.1,0.2,0.048,,4.5,-1.7,2.8,0.2,1997
30,Calbert Cheaney,SG,25,WSB,3.0,120.0,11.4,.486,.049,.293,6.8,5.0,5.8,6.0,1.4,1.2,9.8,19.9,,0.1,0.0,0.0,0.013,,-0.2,-0.3,-0.5,0.0,1997
31,Chris Childs,PG,29,NYK,10.0,328.0,14.5,.535,.299,.264,3.4,14.5,9.1,30.0,3.3,0.0,22.4,18.5,,0.2,0.6,0.8,0.117,,-1.1,3.1,2.0,0.3,1997
32,Tyrone Corbin,SF,34,ATL,10.0,364.0,10.7,.552,.402,.098,4.3,9.8,7.2,10.4,0.6,0.4,12.7,14.7,,0.4,0.2,0.6,0.074,,0.4,1.1,1.5,0.3,1997
33,John Crotty,PG,27,MIA,15.0,125.0,6.3,.513,.364,.212,4.7,5.4,5.1,17.2,1.8,0.0,28.0,19.2,,-0.2,0.2,0.0,0.0,,-2.9,-0.4,-3.2,0.0,1997
34,Terry Cummings,PF,35,SEA,12.0,292.0,14.5,.517,.000,.261,10.8,17.7,14.2,8.0,2.0,1.9,12.0,17.9,,0.3,0.3,0.6,0.101,,-0.9,0.3,-0.6,0.1,1997
