Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Alaa Abdelnaby,PF,23,POR,8.0,25.0,8.6,.510,.000,.400,0.0,19.4,9.8,12.9,0.0,0.0,14.5,23.7,,0.0,0.0,0.0,-0.005,,-4.2,-0.4,-4.6,0.0,1992
2,Rafael Addison,SF,27,NJN,1.0,9.0,6.6,.357,.286,.000,0.0,0.0,0.0,17.0,0.0,0.0,0.0,31.7,,0.0,0.0,0.0,-0.134,,1.2,-6.3,-5.1,0.0,1992
3,Mark Aguirre,SF,32,DET,5.0,113.0,4.8,.409,.104,.333,4.3,4.9,4.6,21.1,1.0,0.6,19.1,29.0,,-0.5,0.1,-0.3,-0.147,,-3.8,-2.1,-5.8,-0.1,1992
4,Danny Ainge,SG,32,POR,21.0,449.0,14.3,.585,.308,.278,2.2,8.6,5.4,17.0,1.7,0.2,11.6,20.6,,0.8,0.4,1.2,0.124,,1.0,0.5,1.5,0.4,1992
5,Victor Alexander,C,22,GSW,4.0,24.0,8.6,.643,.000,.200,4.5,25.6,14.4,5.5,4.0,0.0,26.9,12.7,,0.0,0.0,0.0,0.063,,-5.4,2.9,-2.5,0.0,1992
6,Kenny Anderson,PG,21,NJN,3.0,24.0,10.1,.405,.000,.222,4.1,9.8,6.7,16.7,2.1,0.0,9.2,18.5,,0.0,0.0,0.0,-0.012,,-2.8,-1.5,-4.2,0.0,1992
7,Greg Anthony,PG,24,NYK,12.0,213.0,13.8,.520,.261,.717,2.3,7.5,4.9,31.3,4.3,0.3,17.7,16.1,,0.2,0.5,0.6,0.142,,0.0,5.1,5.1,0.4,1992
8,B.J. Armstrong,PG,24,CHI,22.0,434.0,11.4,.517,.122,.273,0.6,6.2,3.4,16.5,1.7,0.0,10.4,18.3,,0.3,0.5,0.8,0.09,,-0.7,0.1,-0.6,0.2,1992
9,Vincent Askew,SG,25,GSW,4.0,30.0,-1.1,.125,.000,.000,10.8,4.1,7.7,19.6,0.0,0.0,20.0,13.7,,-0.1,0.0,-0.1,-0.186,,-5.3,-4.5,-9.8,-0.1,1992
10,Keith Askins,SF,24,MIA,3.0,48.0,10.2,.547,.455,.182,9.9,13.2,11.5,9.7,1.1,0.0,7.8,12.0,,0.1,0.0,0.0,0.02,,1.0,-0.7,0.3,0.0,1992
11,John Bagley,PG,31,BOS,10.0,308.0,13.6,.499,.042,.389,3.0,8.1,5.4,36.0,1.5,0.2,23.9,21.0,,-0.1,0.1,0.0,0.001,,0.8,-1.4,-0.6,0.1,1992
12,Dana Barros,PG,24,SEA,7.0,96.0,16.5,.650,.425,.000,1.3,7.8,4.5,13.8,2.1,0.0,13.0,20.8,,0.2,0.0,0.2,0.119,,4.2,0.5,4.7,0.2,1992
13,John Battle,SG,29,CLE,15.0,202.0,8.5,.483,.024,.280,2.5,4.4,3.5,11.8,1.3,0.3,16.3,24.7,,-0.3,0.1,-0.2,-0.036,,-3.3,-2.5,-5.8,-0.2,1992
14,William Bedford,C,28,DET,1.0,9.0,22.7,.500,.000,.000,0.0,24.5,12.8,0.0,6.2,0.0,0.0,32.1,,0.0,0.0,0.0,0.14,,2.2,1.5,3.7,0.0,1992
15,Benoit Benjamin,C,27,SEA,9.0,161.0,15.3,.562,.024,.439,7.6,28.1,17.7,4.6,1.6,5.3,14.1,15.4,,0.1,0.2,0.3,0.09,,-0.4,2.0,1.5,0.1,1992
16,David Benoit,SF,23,UTA,13.0,257.0,10.7,.501,.155,.131,9.0,15.2,12.2,3.7,1.2,1.3,10.1,17.5,,0.1,0.2,0.3,0.055,,-1.4,-0.8,-2.2,0.0,1992
17,Larry Bird*,SF,35,BOS,4.0,107.0,16.4,.514,.119,.095,2.2,19.6,10.4,27.8,0.5,1.3,12.1,20.6,,0.1,0.1,0.2,0.069,,1.7,0.4,2.2,0.1,1992
18,Lance Blanks,SG,25,DET,1.0,10.0,23.5,.500,.000,.000,0.0,11.0,5.8,55.1,16.8,0.0,33.3,14.5,,0.0,0.1,0.0,0.207,,-0.8,16.4,15.7,0.0,1992
19,Mookie Blaylock,PG,24,NJN,4.0,148.0,10.9,.335,.109,.073,3.3,8.7,5.8,27.6,5.0,0.9,11.0,17.6,,-0.2,0.2,-0.1,-0.017,,-3.0,2.8,-0.2,0.1,1992
20,Sam Bowie,C,30,NJN,4.0,112.0,9.9,.483,.061,.364,7.0,11.5,9.0,10.7,1.3,1.7,11.6,15.8,,0.0,0.1,0.1,0.031,,-2.8,-0.1,-2.9,0.0,1992
21,Terrell Brandon,PG,21,CLE,12.0,157.0,8.7,.414,.055,.073,3.2,12.7,8.2,29.1,1.0,0.4,16.2,19.6,,-0.2,0.2,0.0,-0.012,,-3.4,-1.1,-4.4,-0.1,1992
22,Chucky Brown,SF,23,LAL,3.0,44.0,13.5,.439,.053,.316,7.9,23.1,15.2,9.1,0.0,3.1,4.4,23.6,,0.0,0.0,0.0,-0.014,,1.1,-0.9,0.2,0.0,1992
23,Dee Brown,PG,23,BOS,6.0,120.0,16.0,.515,.068,.136,2.9,9.8,6.2,35.9,0.4,2.3,13.0,19.8,,0.2,0.0,0.2,0.084,,1.4,0.6,2.0,0.1,1992
24,Mike Brown,C,28,UTA,16.0,274.0,9.0,.494,.000,.547,10.3,19.2,14.9,6.1,0.4,0.5,14.7,18.1,,0.0,0.2,0.2,0.037,,-3.3,-1.4,-4.8,-0.2,1992
25,Tony Brown,SF,31,SEA,5.0,22.0,10.5,.496,.667,1.167,0.0,11.4,5.6,12.4,0.0,0.0,0.0,17.9,,0.0,0.0,0.0,0.089,,-0.1,-0.7,-0.8,0.0,1992
26,Mark Bryant,PF,26,POR,12.0,116.0,2.1,.374,.000,.138,11.7,18.8,15.3,1.2,1.3,0.0,22.6,14.8,,-0.3,0.1,-0.1,-0.052,,-7.4,-2.3,-9.7,-0.2,1992
27,Steve Burtt,SG,29,PHO,8.0,104.0,12.6,.529,.053,.553,3.4,10.1,6.8,18.7,2.3,0.0,14.5,22.1,,0.1,0.1,0.1,0.066,,-2.3,0.1,-2.2,0.0,1992
28,Michael Cage,PF,30,SEA,9.0,197.0,10.7,.566,.000,.029,11.2,21.0,16.0,2.8,1.6,2.7,18.9,9.4,,0.1,0.2,0.3,0.064,,-0.7,0.5,-0.2,0.1,1992
29,Elden Campbell,C,23,LAL,4.0,117.0,11.9,.445,.000,.486,8.9,17.4,13.0,9.1,1.3,3.5,8.2,19.1,,0.0,0.1,0.0,0.012,,-1.4,0.0,-1.4,0.0,1992
30,Antoine Carr,PF,30,SAS,3.0,109.0,21.0,.578,.045,.364,8.5,17.4,12.7,4.3,0.9,6.2,7.3,21.7,,0.2,0.0,0.3,0.125,,2.0,1.1,3.0,0.1,1992
31,Bill Cartwright,C,34,CHI,22.0,612.0,6.5,.474,.000,.267,5.8,13.7,9.8,8.7,1.0,0.5,17.2,11.7,,-0.3,0.9,0.6,0.048,,-2.7,0.3,-2.4,-0.1,1992
32,Cedric Ceballos,SF,22,PHO,8.0,188.0,20.2,.579,.000,.375,12.7,19.2,16.0,9.9,1.5,2.0,10.6,23.1,,0.4,0.2,0.5,0.135,,3.7,-0.2,3.5,0.3,1992
33,Tom Chambers,PF,32,PHO,7.0,194.0,14.3,.550,.082,.376,4.9,13.8,9.4,14.5,0.5,1.6,13.1,24.5,,0.2,0.1,0.3,0.066,,0.5,-0.7,-0.1,0.1,1992
34,Derrick Coleman,PF,24,NJN,4.0,162.0,20.4,.535,.081,.284,7.9,23.1,14.8,19.9,2.1,1.6,11.7,23.7,,0.2,0.2,0.4,0.111,,4.2,1.6,5.8,0.3,1992
35,Bimbo Coles,PG,23,MIA,3.0,45.0,21.2,.799,.100,1.000,5.3,14.0,9.5,22.4,3.4,0.0,25.8,19.3,,0.1,0.0,0.1,0.129,,3.2,2.1,5.3,0.1,1992
36,Marty Conlon,C,24,SEA,1.0,1.0,67.7,.532,.000,2.000,0.0,100.0,62.0,0.0,0.0,0.0,0.0,81.7,,0.0,0.0,0.0,0.836,,16.2,2.2,18.4,0.0,1992
37,Wayne Cooper,C,35,POR,3.0,27.0,7.9,.500,.000,.000,4.6,31.4,18.1,0.0,0.0,7.5,20.0,8.0,,0.0,0.0,0.0,0.06,,-5.1,2.4,-2.7,0.0,1992
38,Tyrone Corbin,SF,29,UTA,16.0,447.0,14.5,.560,.015,.394,11.2,13.4,12.3,6.2,1.4,0.5,9.6,18.1,,0.7,0.3,1.0,0.112,,0.8,-0.4,0.4,0.3,1992
39,Corey Crowder,SF,22,UTA,4.0,12.0,21.1,.530,.222,.111,10.7,10.2,10.4,23.9,4.4,0.0,17.5,43.4,,0.0,0.0,0.0,-0.098,,0.0,-0.5,-0.5,0.0,1992
40,Terry Cummings,PF,30,SAS,3.0,122.0,22.9,.521,.015,.303,14.2,19.7,16.8,10.0,1.7,2.0,8.6,28.8,,0.2,0.0,0.2,0.088,,2.9,-1.8,1.1,0.1,1992
