Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Arron Afflalo,SG,25,DEN,3.0,85.0,7.9,.453,.353,.235,0.0,11.8,5.9,15.3,0.0,0.0,7.4,21.8,,-0.1,0.0,-0.1,-0.03,,-2.1,-0.6,-2.7,0.0,2011
2,LaMarcus Aldridge,PF,25,POR,6.0,258.0,19.2,.498,.000,.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,,0.3,0.1,0.4,0.073,,1.4,-0.5,1.0,0.2,2011
3,Malik Allen,PF,32,ORL,1.0,7.0,-5.7,.266,.000,2.000,0.0,17.2,8.5,0.0,0.0,0.0,0.0,12.8,,0.0,0.0,0.0,-0.047,,-12.7,0.0,-12.7,0.0,2011
4,Ray Allen*,SG,35,BOS,9.0,361.0,19.6,.708,.514,.229,1.8,9.3,5.8,10.5,1.6,0.2,7.7,17.2,,1.3,0.3,1.7,0.225,,4.9,2.3,7.1,0.8,2011
5,Tony Allen,SG,29,MEM,13.0,350.0,10.7,.479,.069,.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,,-0.2,0.4,0.2,0.03,,-3.1,2.2,-0.9,0.1,2011
6,Chris Andersen,C,32,DEN,5.0,73.0,19.1,.699,.000,1.273,7.6,13.7,10.7,7.0,2.1,8.0,14.9,12.6,,0.2,0.1,0.3,0.195,,1.6,4.8,6.4,0.2,2011
7,Ryan Anderson,PF,22,ORL,6.0,147.0,8.3,.429,.667,.200,8.0,13.9,10.9,3.5,1.9,0.5,3.0,10.9,,0.1,0.2,0.4,0.119,,-1.0,0.0,-1.0,0.0,2011
8,Carmelo Anthony*,SF,26,NYK,4.0,156.0,22.5,.505,.295,.386,8.5,23.0,14.9,26.8,1.7,1.4,11.2,32.7,,0.3,0.2,0.5,0.149,,6.1,0.5,6.6,0.3,2011
9,Joel Anthony,C,28,MIA,21.0,575.0,7.6,.463,.000,.633,7.6,12.7,10.2,2.7,0.8,5.5,17.2,6.4,,0.2,0.8,0.9,0.078,,-2.5,1.9,-0.6,0.2,2011
10,Gilbert Arenas,PG,29,ORL,5.0,81.0,15.9,.482,.286,.143,5.8,14.9,10.3,35.0,0.7,1.0,11.8,29.7,,0.1,0.1,0.2,0.108,,0.1,1.2,1.3,0.1,2011
