Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Arron Afflalo,SG,26,DEN,7.0,229.0,10.9,.471,.270,.203,2.2,8.7,5.5,12.4,1.2,0.6,10.0,17.2,,0.2,0.0,0.2,0.042,,-1.0,-0.6,-1.6,0.0,2012
2,Blake Ahearn,PG,27,UTA,3.0,8.0,33.9,.833,.333,.000,0.0,0.0,0.0,57.8,0.0,0.0,0.0,16.2,,0.1,0.0,0.1,0.407,,17.3,3.7,21.0,0.0,2012
3,Cole Aldrich,C,23,OKC,5.0,25.0,19.8,.465,.000,.444,24.4,37.7,31.1,0.0,0.0,0.0,0.0,20.2,,0.1,0.0,0.1,0.177,,0.8,-5.8,-5.0,0.0,2012
4,Lavoy Allen,PF,22,PHI,12.0,236.0,17.1,.566,.000,.197,9.5,19.1,14.1,2.4,2.3,3.5,7.0,14.4,,0.4,0.5,0.9,0.191,,0.0,2.6,2.6,0.3,2012
5,Ray Allen*,SG,36,BOS,18.0,616.0,10.0,.514,.551,.269,1.6,12.3,7.1,5.0,1.5,0.3,8.3,16.2,,0.2,0.8,1.0,0.077,,-1.1,0.4,-0.7,0.2,2012
6,Tony Allen,SG,30,MEM,7.0,170.0,9.9,.457,.111,.378,5.6,10.4,7.9,5.2,2.9,3.6,16.0,17.0,,-0.1,0.3,0.2,0.056,,-2.8,2.7,-0.1,0.1,2012
7,Lou Amundson,PF,29,IND,11.0,94.0,12.3,.527,.000,.261,7.5,20.8,14.2,3.7,1.2,4.4,13.5,14.6,,0.1,0.2,0.2,0.117,,-2.2,2.4,0.2,0.1,2012
8,James Anderson,SG,22,SAS,8.0,31.0,16.3,.557,.444,.222,0.0,18.1,9.4,14.6,1.7,0.0,0.0,14.8,,0.1,0.0,0.1,0.168,,2.3,2.4,4.7,0.1,2012
9,Ryan Anderson,PF,23,ORL,5.0,172.0,7.1,.510,.682,.159,5.9,9.5,7.7,4.3,1.0,0.9,16.0,16.0,,0.0,0.0,0.0,0.01,,-2.5,-1.5,-4.0,-0.1,2012
10,Carmelo Anthony*,SF,27,NYK,5.0,204.0,21.5,.489,.145,.331,7.4,17.4,12.2,14.1,1.6,0.5,9.0,36.2,,0.3,0.0,0.4,0.091,,4.8,-0.1,4.7,0.3,2012
