Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
108,Kyle Korver,SG,34,ATL,10.0,316.0,12.3,.652,.720,.120,1.1,14.6,8.2,4.9,1.6,1.1,9.2,12.3,,0.5,0.4,0.8,0.122,,-0.6,1.4,0.9,0.2,2016
109,Jeremy Lamb,SG,23,CHO,3.0,12.0,39.5,.611,.111,.000,8.9,30.7,19.0,33.7,0.0,0.0,0.0,35.7,,0.1,0.0,0.1,0.255,,17.0,1.0,18.0,0.1,2016
110,Ty Lawson,PG,28,IND,7.0,74.0,5.0,.388,.167,.333,1.7,8.7,5.4,22.3,2.2,0.0,22.5,17.3,,-0.1,0.1,-0.1,-0.045,,-6.5,-0.6,-7.0,-0.1,2016
111,Courtney Lee,SG,30,CHO,7.0,257.0,8.5,.521,.176,.294,2.1,7.2,4.4,6.0,1.2,0.9,8.0,11.6,,0.1,0.1,0.2,0.045,,-2.8,0.6,-2.2,0.0,2016
112,David Lee,PF,32,DAL,2.0,33.0,14.1,.750,.000,.000,3.4,18.5,10.6,5.5,0.0,0.0,0.0,11.2,,0.1,0.0,0.1,0.104,,-0.8,-2.4,-3.2,0.0,2016
113,Kawhi Leonard,SF,24,SAS,10.0,339.0,28.6,.597,.235,.307,5.1,15.7,10.7,14.7,4.0,3.2,7.8,28.1,,1.1,0.8,1.9,0.271,,7.1,4.4,11.5,1.2,2016
114,Damian Lillard,PG,25,POR,11.0,437.0,19.8,.527,.442,.322,2.7,8.4,5.5,28.1,1.6,0.5,10.7,30.2,,0.9,0.1,1.1,0.118,,5.7,-1.2,4.5,0.7,2016
115,Jeremy Lin,SG,27,CHO,7.0,189.0,14.5,.543,.222,.619,1.7,8.4,4.8,18.1,1.4,0.0,12.1,23.0,,0.2,0.1,0.3,0.069,,-0.7,0.2,-0.5,0.1,2016
116,Shaun Livingston,PG,30,GSW,24.0,514.0,14.0,.532,.006,.220,2.8,13.1,8.0,24.0,1.2,0.8,13.6,18.2,,0.7,0.4,1.2,0.108,,-1.2,1.0,-0.3,0.2,2016
117,Kevin Love,PF,27,CLE,20.0,613.0,17.9,.539,.464,.314,6.6,26.8,16.9,10.6,0.8,1.3,9.0,22.5,,1.3,0.7,2.0,0.157,,3.1,-0.8,2.4,0.7,2016
118,Kyle Lowry,PG,29,TOR,20.0,766.0,16.6,.508,.418,.315,2.7,12.6,7.4,29.2,2.2,0.3,14.4,26.5,,0.6,0.7,1.2,0.077,,2.5,0.0,2.5,0.9,2016
119,Ian Mahinmi,C,29,IND,7.0,172.0,11.6,.538,.000,.595,8.6,14.9,12.0,8.2,1.6,2.9,20.9,18.7,,0.0,0.3,0.2,0.066,,-3.5,1.1,-2.4,0.0,2016
120,Boban MarjanoviÄ,C,27,SAS,7.0,42.0,25.3,.752,.000,.750,11.7,25.9,19.3,11.6,0.0,3.7,15.8,21.0,,0.2,0.1,0.3,0.336,,0.3,2.5,2.8,0.1,2016
