Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Steven Adams,C,20,OKC,18.0,331.0,11.0,.635,.000,.511,8.0,16.9,12.7,1.9,0.2,5.4,15.4,9.0,,0.3,0.4,0.7,0.099,,-1.7,1.5,-0.2,0.2,2014
2,LaMarcus Aldridge,PF,28,POR,11.0,441.0,21.0,.509,.012,.300,7.5,21.2,14.4,7.0,0.8,3.0,6.3,30.1,,0.6,0.3,0.9,0.097,,2.7,-0.7,2.1,0.4,2014
3,Lavoy Allen,PF,24,IND,4.0,15.0,14.3,.500,.000,.000,8.2,31.5,20.1,11.8,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.144,,0.8,-1.0,-0.2,0.0,2014
4,Ray Allen*,SG,38,MIA,20.0,527.0,12.8,.581,.594,.259,3.4,13.2,8.5,9.7,1.5,0.7,13.1,17.8,,0.6,0.3,0.9,0.08,,1.1,-0.9,0.2,0.3,2014
5,Tony Allen,SG,32,MEM,7.0,230.0,15.6,.529,.097,.292,10.7,15.8,13.1,7.6,2.8,0.4,12.9,18.6,,0.2,0.3,0.5,0.097,,-0.1,2.2,2.1,0.2,2014
6,Chris Andersen,C,35,MIA,18.0,317.0,17.7,.624,.018,.667,11.3,32.9,22.5,2.5,0.9,5.3,10.9,13.3,,0.7,0.5,1.2,0.175,,1.0,0.1,1.2,0.3,2014
7,Alan Anderson,SF,31,BRK,12.0,261.0,9.3,.508,.500,.290,4.6,11.2,7.7,9.1,2.1,0.0,12.5,15.0,,0.1,0.1,0.2,0.044,,-2.4,0.6,-1.8,0.0,2014
8,Pero AntiÄ,C,31,ATL,7.0,170.0,-1.1,.242,.595,.190,6.3,12.1,9.0,5.0,1.6,1.5,14.9,14.6,,-0.6,0.3,-0.3,-0.098,,-7.8,-2.0,-9.8,-0.3,2014
9,Trevor Ariza,SF,28,WAS,11.0,407.0,17.6,.626,.519,.250,6.0,22.0,13.9,8.0,2.3,0.8,10.5,15.5,,0.8,0.9,1.7,0.202,,3.3,1.9,5.2,0.7,2014
10,Hilton Armstrong,C,29,GSW,7.0,17.0,5.4,.450,.125,.250,19.8,6.9,13.5,20.9,0.0,10.1,31.1,32.3,,-0.1,0.0,-0.1,-0.218,,-12.3,0.0,-12.3,0.0,2014
11,Ãmer AÅÄ±k,C,27,HOU,6.0,163.0,9.1,.510,.000,.091,13.8,19.4,16.5,3.5,1.0,2.0,24.3,11.8,,0.0,0.1,0.1,0.026,,-3.7,-0.3,-4.0,-0.1,2014
12,D.J. Augustin,PG,26,CHI,5.0,141.0,9.5,.411,.361,.264,3.2,3.4,3.3,32.2,1.2,0.0,10.1,30.5,,-0.2,0.1,-0.1,-0.031,,-0.5,-2.5,-3.0,0.0,2014
13,Jeff Ayres,PF,26,SAS,17.0,65.0,13.0,.515,.000,.615,11.1,22.8,17.1,10.5,0.0,0.0,5.7,12.5,,0.1,0.1,0.2,0.158,,0.5,0.6,1.0,0.1,2014
14,Harrison Barnes,SF,21,GSW,7.0,156.0,9.9,.500,.438,.333,5.0,15.8,10.3,7.6,0.3,1.6,8.3,16.4,,0.1,0.0,0.1,0.033,,0.1,-0.1,0.0,0.1,2014
15,Matt Barnes,SF,33,LAC,13.0,404.0,9.7,.529,.561,.178,6.0,10.6,8.2,8.0,1.5,0.6,12.8,14.2,,0.2,0.2,0.4,0.047,,0.0,-0.5,-0.5,0.2,2014
16,Will Barton,SG,23,POR,7.0,81.0,17.4,.614,.324,.176,6.8,9.3,8.0,6.5,0.6,1.8,14.1,23.1,,0.1,0.0,0.1,0.085,,4.7,1.3,6.0,0.2,2014
17,Shane Battier,SF,35,MIA,16.0,202.0,5.8,.656,.769,.192,0.7,5.7,3.3,3.7,1.4,0.5,15.1,8.4,,0.1,0.1,0.2,0.049,,-1.7,-0.3,-2.0,0.0,2014
18,Nicolas Batum,SF,25,POR,11.0,459.0,14.5,.562,.423,.106,2.4,17.3,9.9,18.3,1.5,0.8,15.9,16.9,,0.4,0.2,0.7,0.07,,2.5,0.8,3.3,0.6,2014
19,Aron Baynes,C,27,SAS,14.0,101.0,11.5,.563,.042,.417,14.3,21.5,18.0,0.0,1.5,0.0,19.8,16.3,,0.1,0.2,0.2,0.108,,-3.3,-0.2,-3.5,0.0,2014
20,Bradley Beal,SG,20,WAS,11.0,458.0,17.0,.531,.299,.277,3.8,10.2,7.0,19.9,2.1,1.2,10.4,22.9,,0.6,0.8,1.4,0.152,,3.3,1.4,4.7,0.8,2014
21,Michael Beasley,SF,25,MIA,4.0,23.0,14.6,.486,.000,.300,12.0,11.2,11.6,16.7,0.0,0.0,8.1,27.4,,0.0,0.0,0.0,0.031,,0.3,-2.3,-2.0,0.0,2014
22,Marco Belinelli,SF,27,SAS,23.0,356.0,11.0,.575,.384,.222,1.4,15.4,8.6,7.6,0.4,0.0,9.9,15.7,,0.4,0.4,0.8,0.107,,-1.2,-0.1,-1.4,0.1,2014
23,Patrick Beverley,PG,25,HOU,6.0,202.0,8.9,.478,.440,.200,6.9,6.7,6.8,7.6,0.8,0.8,6.8,12.3,,0.2,0.0,0.2,0.048,,-0.7,-0.4,-1.0,0.0,2014
24,Bismack Biyombo,C,21,CHA,3.0,48.0,11.2,.524,.000,1.200,12.6,16.3,14.4,3.3,0.0,3.7,0.0,7.6,,0.1,0.0,0.1,0.103,,-1.0,-0.6,-1.6,0.0,2014
