Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Ãlex Abrines,SG,24,OKC,6.0,110.0,9.5,.575,.650,.100,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,,0.1,0.1,0.2,0.107,,-1.3,1.9,0.5,0.1,2018
2,Steven Adams,C,24,OKC,6.0,200.0,16.0,.609,.000,.283,10.2,13.6,11.9,7.0,1.0,1.8,7.2,12.2,,0.5,0.2,0.7,0.158,,1.6,-0.3,1.3,0.2,2018
3,Bam Adebayo,C,20,MIA,5.0,77.0,6.1,.402,.067,.933,12.1,15.4,13.7,0.0,0.0,2.2,8.6,13.0,,-0.1,0.0,-0.1,-0.036,,-4.3,-4.5,-8.8,-0.1,2018
4,LaMarcus Aldridge,C,32,SAS,5.0,177.0,24.8,.599,.063,.525,7.8,22.6,14.7,13.2,0.9,1.0,8.4,27.8,,0.6,0.1,0.7,0.189,,5.6,0.1,5.7,0.3,2018
5,Al-Farouq Aminu,PF,27,POR,4.0,131.0,21.3,.652,.577,.038,9.4,22.1,15.2,5.8,1.5,1.2,10.2,19.2,,0.4,0.0,0.4,0.152,,4.4,0.3,4.7,0.2,2018
6,Justin Anderson,SF,24,PHI,7.0,33.0,2.5,.500,.875,.000,3.2,26.3,14.6,0.0,1.5,0.0,20.0,12.7,,0.0,0.0,0.0,0.014,,-6.9,-0.6,-7.5,0.0,2018
7,Kyle Anderson,SF,24,SAS,5.0,73.0,17.5,.620,.200,.200,7.2,13.3,10.1,7.4,4.2,1.2,12.1,15.5,,0.1,0.1,0.2,0.13,,-0.8,3.7,2.9,0.1,2018
8,Ryan Anderson,PF,29,HOU,11.0,95.0,7.0,.475,.750,.000,4.6,10.6,7.6,9.0,1.6,0.9,13.0,10.8,,0.0,0.1,0.1,0.049,,-2.3,0.1,-2.2,0.0,2018
9,Giannis Antetokounmpo,PF,23,MIL,7.0,280.0,26.6,.620,.116,.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,,1.0,0.4,1.4,0.239,,5.6,1.4,7.1,0.6,2018
10,Carmelo Anthony*,PF,33,OKC,6.0,194.0,9.7,.452,.389,.208,1.7,16.7,9.3,1.6,2.5,1.9,7.1,19.1,,-0.2,0.3,0.1,0.018,,-2.0,-0.1,-2.2,0.0,2018
11,OG Anunoby,SF,20,TOR,10.0,238.0,12.7,.695,.558,.212,4.5,6.3,5.4,4.3,1.3,1.3,9.5,12.0,,0.5,0.0,0.5,0.094,,0.7,0.5,1.2,0.2,2018
12,Trevor Ariza,SF,32,HOU,17.0,582.0,7.6,.488,.655,.223,1.7,10.8,6.2,5.5,1.6,0.3,6.1,12.5,,0.1,0.5,0.6,0.049,,-2.5,0.5,-2.1,0.0,2018
13,Luke Babbitt,SF,28,MIA,2.0,3.0,-13.5,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,,0.0,0.0,0.0,-0.392,,-12.5,-9.0,-21.5,0.0,2018
14,Wade Baldwin,PG,21,POR,4.0,19.0,4.7,.410,.250,.500,0.0,19.1,8.7,19.6,2.6,4.3,38.1,17.7,,-0.1,0.0,-0.1,-0.14,,-4.7,-0.1,-4.8,0.0,2018
15,Jerryd Bayless,SG,29,PHI,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.013,,-4.7,-3.4,-8.1,0.0,2018
16,Aron Baynes,C,31,BOS,19.0,389.0,15.6,.588,.258,.202,13.0,22.0,17.4,7.7,0.5,2.5,7.6,12.4,,0.9,0.5,1.4,0.174,,0.0,0.6,0.7,0.3,2018
17,Bradley Beal,SG,24,WAS,6.0,216.0,17.0,.588,.417,.213,1.1,9.9,5.5,13.1,1.6,0.8,11.3,27.2,,0.3,0.1,0.4,0.078,,3.1,-0.6,2.5,0.2,2018
18,Marco Belinelli,SG,31,PHI,10.0,273.0,12.8,.539,.434,.292,0.4,7.9,4.1,11.4,1.3,0.0,3.2,19.0,,0.5,0.2,0.7,0.129,,0.3,-0.6,-0.3,0.1,2018
19,Jordan Bell,C,23,GSW,17.0,173.0,14.6,.537,.031,.438,10.0,19.3,14.9,11.5,1.7,4.6,13.6,11.4,,0.2,0.3,0.6,0.165,,-0.3,2.5,2.2,0.2,2018
20,DÄvis BertÄns,PF,25,SAS,5.0,82.0,4.1,.372,.889,.611,1.3,14.8,7.6,10.7,1.3,0.0,4.2,13.3,,-0.1,0.0,-0.1,-0.029,,-4.6,-1.4,-6.0,-0.1,2018
21,Nemanja Bjelica,PF,29,MIN,5.0,47.0,21.6,.603,.438,.438,9.5,24.6,17.3,9.9,3.2,0.0,5.0,19.5,,0.1,0.0,0.2,0.195,,5.3,3.4,8.7,0.1,2018
22,Tarik Black,C,26,HOU,7.0,19.0,3.4,.250,.000,.000,11.5,23.6,17.5,14.6,0.0,4.6,20.0,11.8,,0.0,0.0,0.0,-0.015,,-8.1,0.8,-7.3,0.0,2018
23,Eric Bledsoe,PG,28,MIL,7.0,225.0,12.9,.512,.262,.238,1.7,10.9,6.6,18.1,1.6,2.4,13.9,23.3,,-0.1,0.2,0.1,0.027,,-0.7,-2.1,-2.8,0.0,2018
24,Bojan BogdanoviÄ,SF,28,IND,7.0,238.0,7.5,.509,.556,.123,0.5,11.3,6.1,8.2,1.3,0.0,13.2,19.5,,-0.2,0.3,0.1,0.023,,-2.7,-0.5,-3.2,-0.1,2018
25,Trevor Booker,PF,30,IND,7.0,64.0,13.3,.688,.100,.700,9.9,23.8,17.2,0.0,0.8,1.7,7.1,10.4,,0.2,0.1,0.3,0.206,,-2.4,0.8,-1.6,0.0,2018
26,Tony Bradley,C,20,UTA,1.0,2.0,41.9,.500,.000,.000,53.2,0.0,26.9,0.0,0.0,0.0,0.0,44.1,,0.0,0.0,0.0,0.223,,13.4,-8.8,4.7,0.0,2018
27,Corey Brewer,SG,31,OKC,6.0,151.0,11.8,.669,.440,.240,2.8,6.2,4.5,4.8,2.3,3.0,6.7,8.6,,0.3,0.2,0.4,0.14,,-0.5,2.4,1.8,0.1,2018
28,Malcolm Brogdon,PG,25,MIL,7.0,186.0,7.9,.513,.345,.182,2.1,12.6,7.7,13.6,0.3,0.0,16.8,18.7,,-0.1,0.1,0.0,-0.008,,-2.9,-3.7,-6.6,-0.2,2018
29,Aaron Brooks,PG,33,MIN,2.0,3.0,27.9,.515,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,0.0,0.0,0.0,-0.2,,5.5,-5.3,0.2,0.0,2018
30,Jaylen Brown,SG,21,BOS,18.0,583.0,16.0,.563,.421,.188,3.1,14.3,8.6,8.3,1.2,1.5,7.4,24.6,,0.6,0.7,1.3,0.105,,0.6,0.6,1.2,0.5,2018
